Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
AQW;-133.0;-167.0;-27.0;-229.0;-113.0;447.0;-44.0;-169.0;-47.0;1265.0;-159.0;-329.0;-39.0;-39.0;25.0;3952.0;-515.0;-580.0;139.0;37.0;-32.0;1758.0;159.0;-915.0;15.0;38.0;9.0;2413.0;-63.0;-413.0;36.0;16.0;21.0;2331.0;-319.0;-270.0;5.0;195.0;23.0;-289.0;-171.0;513.0;26.0;138.0;54.0;-2657.0;10.0;407.0;17.0;61.0;77.0;-3157.0;199.0;306.0;-9.0;-69.0;49.0;-1287.0;124.0;-91.0;-1.0;-22.0;7.0;144.0;123.0;88.0;-6.0;-29.0;-6.0;462.0;-100.0;-64.0;-7.0;15.0;-11.0;196.0;-10.0;6.0;3.0;-11.0;1.0;-3.0;-52.0;9.0;-1.0;4.0;-3.0;101.0;7.0;2.0;1.0;-7.0;3.0;-31.0;-24.0;26.0
AQW;-15.0;-80.0;-38.0;1353.0;-237.0;-56.0;-6.0;-86.0;6.0;2983.0;-184.0;-402.0;36.0;86.0;-19.0;1789.0;264.0;-442.0;7.0;-22.0;24.0;1520.0;142.0;-446.0;5.0;72.0;17.0;669.0;-41.0;-41.0;18.0;34.0;47.0;659.0;-60.0;28.0;15.0;96.0;27.0;-316.0;-82.0;251.0;15.0;49.0;34.0;-313.0;62.0;168.0;-1.0;79.0;15.0;-1133.0;33.0;114.0;1.0;26.0;25.0;-1304.0;111.0;120.0;-4.0;4.0;12.0;-806.0;4.0;-3.0;1.0;-19.0;6.0;-101.0;17.0;41.0;-2.0;-7.0;-1.0;173.0;-4.0;37.0;-1.0;2.0;-1.0;-7.0;6.0;12.0;2.0;0.0;9.0;-14.0;0.0;-5.0;0.0;0.0;0.0;41.0;-39.0;-4.0
AQW;30.0;-125.0;-55.0;569.0;-152.0;-3.0;3.0;-95.0;-42.0;1963.0;-221.0;-262.0;5.0;-21.0;15.0;3347.0;239.0;-321.0;-49.0;1.0;-7.0;1018.0;-107.0;-387.0;-2.0;-26.0;35.0;1396.0;51.0;-382.0;16.0;35.0;25.0;1294.0;-101.0;-308.0;20.0;57.0;43.0;993.0;-12.0;-84.0;17.0;125.0;17.0;-49.0;-6.0;311.0;21.0;98.0;45.0;-1206.0;65.0;264.0;9.0;64.0;32.0;-1709.0;89.0;234.0;-3.0;12.0;31.0;-1314.0;76.0;37.0;-4.0;-21.0;11.0;-252.0;83.0;51.0;-8.0;5.0;-3.0;20.0;-3.0;84.0;2.0;-9.0;2.0;-50.0;-60.0;60.0;-2.0;3.0;3.0;-33.0;-24.0;66.0;3.0;-7.0;3.0;-7.0;-53.0;14.0
AQW;-47.0;-174.0;-85.0;-1355.0;-481.0;151.0;-48.0;-123.0;-63.0;915.0;-349.0;-105.0;-12.0;-88.0;-5.0;2950.0;-21.0;-496.0;30.0;25.0;53.0;3106.0;419.0;-574.0;40.0;27.0;31.0;2280.0;76.0;-467.0;20.0;63.0;35.0;1527.0;-140.0;-46.0;12.0;153.0;18.0;26.0;-101.0;428.0;6.0;108.0;32.0;-1135.0;-229.0;340.0;19.0;89.0;21.0;-1371.0;-84.0;196.0;20.0;49.0;19.0;-1375.0;108.0;-159.0;12.0;25.0;7.0;-1015.0;319.0;-4.0;-18.0;-14.0;18.0;-946.0;187.0;46.0;-14.0;-31.0;15.0;-84.0;-32.0;50.0;-1.0;-17.0;3.0;185.0;-60.0;65.0;3.0;-16.0;2.0;162.0;-54.0;15.0;0.0;-4.0;-2.0;129.0;11.0;0.0
AQW;-28.0;-180.0;-67.0;-1253.0;-41.0;528.0;-6.0;-84.0;-74.0;1037.0;8.0;113.0;9.0;-80.0;4.0;3093.0;221.0;-344.0;-6.0;-2.0;4.0;3243.0;-103.0;-1010.0;-30.0;-14.0;35.0;2344.0;-478.0;-825.0;15.0;16.0;13.0;2298.0;-477.0;-440.0;32.0;150.0;35.0;626.0;-9.0;358.0;26.0;176.0;38.0;-1257.0;231.0;581.0;24.0;101.0;58.0;-2408.0;48.0;414.0;11.0;31.0;39.0;-2031.0;109.0;81.0;13.0;-43.0;23.0;-490.0;130.0;-55.0;-10.0;9.0;1.0;-178.0;133.0;66.0;-5.0;-7.0;-4.0;-63.0;-21.0;3.0;0.0;-1.0;-14.0;39.0;-44.0;-23.0;5.0;-7.0;-3.0;43.0;21.0;-29.0;-4.0;2.0;5.0;-3.0;10.0;-10.0
AQW;-20.0;-193.0;-76.0;-368.0;-359.0;331.0;-20.0;-123.0;-79.0;1475.0;-278.0;-242.0;10.0;-69.0;38.0;4461.0;157.0;-523.0;-26.0;91.0;-21.0;1629.0;145.0;-689.0;-1.0;-5.0;34.0;1580.0;-361.0;-582.0;40.0;-10.0;68.0;967.0;-208.0;-272.0;34.0;53.0;51.0;496.0;21.0;52.0;18.0;43.0;54.0;-282.0;138.0;326.0;4.0;105.0;20.0;-789.0;-68.0;240.0;12.0;3.0;50.0;-639.0;-34.0;134.0;10.0;36.0;20.0;-285.0;67.0;54.0;7.0;39.0;1.0;-157.0;80.0;59.0;-2.0;42.0;5.0;-804.0;136.0;73.0;-3.0;18.0;9.0;-814.0;33.0;96.0;-4.0;-18.0;14.0;-429.0;57.0;52.0;-1.0;-10.0;0.0;158.0;-37.0;57.0
AQW;14.0;-200.0;-54.0;647.0;-438.0;237.0;23.0;-98.0;-62.0;2014.0;-170.0;-136.0;10.0;-95.0;41.0;3611.0;361.0;-279.0;-48.0;40.0;-15.0;1962.0;173.0;-741.0;-21.0;20.0;32.0;2064.0;-128.0;-463.0;23.0;97.0;25.0;1276.0;-188.0;-210.0;41.0;94.0;62.0;-233.0;-48.0;288.0;29.0;93.0;64.0;-1175.0;17.0;405.0;9.0;32.0;49.0;-1017.0;62.0;196.0;3.0;39.0;18.0;-455.0;-13.0;58.0;5.0;20.0;-3.0;-24.0;-8.0;-61.0;7.0;54.0;-8.0;-215.0;73.0;21.0;6.0;38.0;-9.0;-591.0;114.0;14.0;1.0;27.0;3.0;-796.0;155.0;48.0;-3.0;-7.0;13.0;-571.0;79.0;61.0;-12.0;-7.0;-1.0;-236.0;-12.0;82.0
AQW;-33.0;-188.0;-83.0;-1604.0;-295.0;428.0;-6.0;-91.0;-72.0;1614.0;-11.0;119.0;0.0;-21.0;-17.0;1892.0;126.0;-78.0;-27.0;55.0;6.0;2684.0;79.0;-428.0;-21.0;-30.0;11.0;1026.0;-528.0;-447.0;7.0;-17.0;7.0;1392.0;-396.0;-571.0;21.0;-8.0;32.0;1561.0;-173.0;-503.0;16.0;11.0;41.0;1464.0;-7.0;-302.0;15.0;59.0;51.0;970.0;19.0;172.0;25.0;110.0;25.0;-9.0;-116.0;460.0;35.0;127.0;40.0;-1207.0;42.0;351.0;26.0;93.0;35.0;-1994.0;176.0;146.0;13.0;21.0;43.0;-1650.0;321.0;-80.0;-6.0;-5.0;19.0;-642.0;154.0;-24.0;-5.0;-2.0;7.0;-85.0;78.0;20.0;-5.0;1.0;-7.0;67.0;-44.0;21.0
AQW;-46.0;-102.0;-117.0;-2198.0;-96.0;766.0;5.0;-117.0;-77.0;907.0;142.0;425.0;-6.0;-53.0;-48.0;2383.0;308.0;6.0;-12.0;14.0;-9.0;2858.0;299.0;-761.0;-46.0;4.0;-10.0;1245.0;-238.0;-815.0;-10.0;-50.0;8.0;1266.0;-520.0;-787.0;11.0;-20.0;30.0;1377.0;-330.0;-549.0;8.0;10.0;33.0;1192.0;-208.0;-226.0;22.0;48.0;54.0;553.0;-216.0;38.0;47.0;34.0;64.0;-271.0;-195.0;326.0;44.0;45.0;54.0;-735.0;-17.0;322.0;40.0;80.0;35.0;-691.0;307.0;333.0;20.0;36.0;33.0;-1021.0;359.0;207.0;-1.0;-3.0;43.0;-867.0;287.0;128.0;-14.0;-10.0;26.0;-702.0;132.0;53.0;-16.0;7.0;1.0;-65.0;-81.0;9.0
AQW;-15.0;-122.0;-78.0;-1447.0;24.0;698.0;-15.0;-155.0;-72.0;853.0;-155.0;215.0;-29.0;-135.0;-20.0;2769.0;-19.0;-167.0;1.0;27.0;-1.0;1980.0;251.0;-932.0;-27.0;56.0;-3.0;1185.0;-154.0;-564.0;15.0;5.0;29.0;947.0;-263.0;-556.0;3.0;-7.0;35.0;1311.0;-336.0;-153.0;18.0;4.0;48.0;1474.0;118.0;7.0;21.0;92.0;43.0;700.0;-38.0;218.0;19.0;136.0;20.0;-444.0;-255.0;292.0;34.0;96.0;47.0;-1869.0;-43.0;184.0;13.0;47.0;25.0;-1954.0;234.0;75.0;-5.0;-36.0;31.0;-1087.0;302.0;28.0;-5.0;-14.0;5.0;-96.0;143.0;64.0;-1.0;-19.0;7.0;202.0;27.0;45.0;1.0;4.0;2.0;177.0;-21.0;14.0
