Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
AQW;9.0;-95.0;-222.0;-5415.0;-571.0;-270.0;2.0;-127.0;-121.0;-572.0;-84.0;-126.0;10.0;-33.0;-107.0;3254.0;420.0;-19.0;11.0;35.0;75.0;6386.0;645.0;382.0;15.0;6.0;-11.0;4181.0;452.0;240.0;5.0;-91.0;66.0;3179.0;219.0;104.0;-30.0;60.0;68.0;1166.0;-146.0;-36.0;-18.0;72.0;124.0;-2315.0;-158.0;-119.0;-13.0;104.0;97.0;-2898.0;-310.0;-81.0;8.0;-8.0;82.0;-1864.0;74.0;-56.0;1.0;31.0;15.0;-359.0;-67.0;26.0;-5.0;0.0;10.0;-573.0;-52.0;-29.0;3.0;8.0;-3.0;-279.0;-6.0;-45.0;2.0;4.0;-3.0;-153.0;-15.0;-44.0;-1.0;-3.0;-1.0;33.0;18.0;-11.0;-2.0;0.0;2.0;94.0;-10.0;-3.0
AQW;5.0;-165.0;-213.0;-3737.0;-364.0;256.0;25.0;-46.0;-126.0;1224.0;396.0;53.0;-10.0;3.0;-50.0;5261.0;456.0;177.0;8.0;80.0;76.0;5957.0;537.0;-75.0;1.0;-94.0;-13.0;4188.0;141.0;154.0;-4.0;-49.0;61.0;3302.0;340.0;137.0;4.0;119.0;115.0;-965.0;-169.0;-221.0;-24.0;97.0;165.0;-3352.0;-306.0;-142.0;-1.0;86.0;109.0;-3109.0;-370.0;-153.0;-18.0;-35.0;29.0;-910.0;28.0;74.0;5.0;20.0;3.0;-718.0;-67.0;-52.0;-5.0;-10.0;5.0;-337.0;-67.0;-92.0;2.0;-5.0;-1.0;-133.0;-11.0;-25.0;1.0;10.0;-5.0;-32.0;12.0;3.0;-1.0;-12.0;1.0;20.0;9.0;25.0;-1.0;1.0;0.0;67.0;7.0;-11.0
AQW;18.0;-96.0;-243.0;-5215.0;-958.0;-960.0;20.0;-132.0;-143.0;-304.0;-335.0;-440.0;18.0;9.0;-80.0;4761.0;403.0;377.0;-9.0;43.0;83.0;6787.0;1079.0;1232.0;-11.0;-71.0;-5.0;5273.0;724.0;811.0;-10.0;-152.0;61.0;3509.0;239.0;-85.0;40.0;131.0;137.0;221.0;-243.0;-630.0;-31.0;136.0;152.0;-3615.0;-361.0;-370.0;-8.0;136.0;117.0;-3992.0;-305.0;-32.0;-49.0;-76.0;27.0;-1580.0;131.0;365.0;16.0;30.0;10.0;-493.0;9.0;65.0;2.0;-1.0;6.0;-252.0;-19.0;-33.0;-1.0;-5.0;-2.0;-60.0;-2.0;25.0;1.0;-3.0;-1.0;74.0;45.0;8.0;0.0;1.0;0.0;4.0;14.0;21.0;-1.0;5.0;0.0;15.0;4.0;-24.0
AQW;16.0;-55.0;-167.0;-5749.0;-241.0;-181.0;22.0;-164.0;-188.0;-3794.0;-603.0;400.0;8.0;-76.0;-127.0;3030.0;-34.0;104.0;-16.0;51.0;-18.0;6648.0;342.0;374.0;-15.0;0.0;42.0;8266.0;756.0;-231.0;4.0;-84.0;-24.0;4419.0;328.0;-253.0;86.0;167.0;161.0;94.0;95.0;-570.0;-25.0;120.0;152.0;-3773.0;-250.0;-116.0;-11.0;130.0;194.0;-5106.0;-265.0;186.0;-84.0;-167.0;30.0;-855.0;-194.0;412.0;14.0;41.0;-2.0;-498.0;69.0;-32.0;5.0;-28.0;6.0;-103.0;-30.0;-29.0;2.0;7.0;-4.0;-57.0;-3.0;-16.0;3.0;-4.0;0.0;7.0;15.0;3.0;1.0;2.0;1.0;26.0;9.0;25.0;0.0;-1.0;1.0;67.0;5.0;-11.0
AQW;9.0;-135.0;-244.0;-5343.0;-722.0;-717.0;30.0;-137.0;-112.0;-269.0;-589.0;-579.0;12.0;-50.0;-80.0;4880.0;169.0;371.0;-8.0;64.0;89.0;7410.0;841.0;1038.0;-32.0;-56.0;-85.0;6582.0;953.0;714.0;-33.0;-15.0;60.0;2322.0;-52.0;91.0;-7.0;78.0;141.0;-2016.0;-116.0;-210.0;0.0;175.0;195.0;-4941.0;-389.0;-143.0;34.0;15.0;119.0;-2939.0;-30.0;-88.0;4.0;-18.0;14.0;120.0;19.0;-109.0;-4.0;-12.0;14.0;-624.0;-39.0;0.0;4.0;-4.0;8.0;-63.0;-13.0;-67.0;2.0;7.0;-2.0;-149.0;-20.0;-1.0;-1.0;-9.0;-2.0;-13.0;5.0;53.0;-1.0;2.0;-4.0;79.0;22.0;-11.0;1.0;-3.0;1.0;105.0;14.0;5.0
AQW;17.0;-150.0;-244.0;-6289.0;-667.0;-495.0;-40.0;-131.0;-97.0;883.0;-348.0;-98.0;23.0;-49.0;-66.0;5350.0;386.0;459.0;7.0;-1.0;114.0;9433.0;728.0;591.0;56.0;-41.0;-114.0;5456.0;600.0;-4.0;53.0;143.0;146.0;148.0;127.0;-369.0;-27.0;90.0;134.0;-2657.0;-88.0;-89.0;-23.0;172.0;208.0;-5530.0;-288.0;101.0;-61.0;-163.0;54.0;-943.0;-187.0;292.0;-1.0;56.0;-5.0;-327.0;36.0;-11.0;2.0;-22.0;8.0;-256.0;-30.0;-19.0;1.0;4.0;1.0;-176.0;7.0;-54.0;5.0;3.0;3.0;-64.0;9.0;-10.0;2.0;-3.0;4.0;21.0;12.0;14.0;-1.0;5.0;-4.0;24.0;-20.0;5.0;-1.0;-3.0;0.0;-23.0;-12.0;13.0
AQW;3.0;-162.0;-206.0;-3300.0;-436.0;-250.0;-9.0;-81.0;-131.0;2154.0;-321.0;-152.0;1.0;6.0;-10.0;6233.0;151.0;462.0;1.0;49.0;39.0;6966.0;621.0;403.0;21.0;-51.0;-28.0;4671.0;698.0;24.0;-23.0;76.0;82.0;1205.0;-358.0;164.0;-10.0;80.0;160.0;-3005.0;-96.0;-124.0;-11.0;94.0;188.0;-4513.0;-440.0;127.0;28.0;-64.0;90.0;-1663.0;430.0;-234.0;6.0;23.0;10.0;-435.0;-52.0;-3.0;-5.0;-14.0;7.0;-351.0;-86.0;-20.0;-2.0;6.0;-1.0;-32.0;-42.0;-78.0;0.0;2.0;-3.0;-119.0;-50.0;-34.0;0.0;-5.0;-1.0;106.0;9.0;-29.0;1.0;3.0;-2.0;-85.0;1.0;19.0;0.0;-7.0;2.0;94.0;12.0;26.0
AQW;15.0;-157.0;-238.0;-3842.0;-729.0;-465.0;-16.0;-75.0;-90.0;2214.0;-473.0;-332.0;2.0;81.0;9.0;6120.0;-3.0;888.0;-19.0;84.0;92.0;6029.0;657.0;726.0;23.0;-105.0;-71.0;4774.0;432.0;613.0;-16.0;-122.0;19.0;3552.0;-96.0;-201.0;-14.0;121.0;130.0;-1808.0;109.0;-78.0;-10.0;136.0;191.0;-4484.0;-110.0;-218.0;7.0;74.0;164.0;-4157.0;106.0;63.0;20.0;-58.0;20.0;-59.0;-50.0;-158.0;3.0;4.0;0.0;-403.0;-22.0;18.0;4.0;-3.0;1.0;-48.0;-14.0;-5.0;-2.0;1.0;0.0;-39.0;2.0;10.0;1.0;2.0;-2.0;-57.0;-3.0;6.0;0.0;-4.0;1.0;103.0;15.0;-5.0;0.0;2.0;0.0;17.0;-2.0;-5.0
AQW;11.0;-46.0;-205.0;-5231.0;-43.0;-516.0;12.0;-170.0;-174.0;-2307.0;-257.0;88.0;10.0;-47.0;-86.0;3141.0;-197.0;93.0;-4.0;54.0;23.0;5885.0;116.0;702.0;-11.0;21.0;39.0;5763.0;156.0;153.0;2.0;-76.0;-65.0;4337.0;177.0;126.0;-13.0;60.0;95.0;2121.0;-473.0;-233.0;-17.0;97.0;139.0;-2721.0;28.0;-333.0;-4.0;123.0;212.0;-4302.0;-58.0;-196.0;2.0;-71.0;87.0;-2767.0;376.0;95.0;8.0;37.0;1.0;-205.0;12.0;117.0;0.0;-15.0;6.0;-455.0;5.0;2.0;4.0;5.0;0.0;-86.0;42.0;-15.0;1.0;-9.0;8.0;115.0;18.0;11.0;0.0;0.0;2.0;-40.0;-12.0;6.0;-2.0;-2.0;2.0;148.0;-23.0;-42.0
AQW;2.0;-56.0;-195.0;-5903.0;-217.0;-335.0;24.0;-126.0;-159.0;-2722.0;-135.0;-33.0;12.0;-72.0;-104.0;3025.0;-142.0;-109.0;-4.0;43.0;28.0;6787.0;224.0;562.0;-21.0;5.0;3.0;6447.0;257.0;200.0;-5.0;-60.0;-1.0;3481.0;310.0;120.0;-8.0;44.0;93.0;1121.0;-321.0;-189.0;-12.0;101.0;144.0;-2798.0;-80.0;-152.0;-8.0;93.0;157.0;-3527.0;-160.0;26.0;7.0;-40.0;80.0;-1693.0;333.0;66.0;5.0;24.0;16.0;-562.0;-29.0;68.0;0.0;-2.0;5.0;-418.0;-56.0;-64.0;0.0;15.0;-5.0;-412.0;-43.0;-105.0;2.0;-7.0;0.0;-132.0;-9.0;-39.0;2.0;-8.0;4.0;-26.0;24.0;6.0;1.0;-8.0;4.0;96.0;20.0;32.0
