Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
DOWN2;-11.0;63.0;-79.0;-12.0;1254.0;108.0;-50.0;-13.0;71.0;-670.0;1284.0;91.0;-83.0;-96.0;225.0;-419.0;879.0;51.0;-58.0;-75.0;191.0;236.0;-1048.0;-252.0;9.0;32.0;78.0;282.0;-1736.0;6.0;42.0;67.0;-72.0;16.0;-1593.0;205.0;26.0;68.0;-113.0;-476.0;-740.0;216.0;14.0;-5.0;-126.0;-45.0;65.0;-45.0;37.0;19.0;-63.0;-450.0;393.0;-15.0;39.0;-30.0;-23.0;83.0;471.0;-49.0;40.0;9.0;-3.0;-115.0;404.0;67.0;24.0;-32.0;19.0;208.0;316.0;67.0;17.0;-2.0;34.0;64.0;184.0;0.0;0.0;-28.0;28.0;289.0;64.0;6.0;0.0;8.0;14.0;-87.0;26.0;19.0;-4.0;-8.0;1.0;104.0;-38.0;13.0
DOWN2;-61.0;-50.0;177.0;-554.0;-138.0;-13.0;-19.0;-62.0;148.0;-108.0;-1016.0;-65.0;28.0;-9.0;31.0;416.0;-1474.0;-141.0;19.0;42.0;-87.0;214.0;-1082.0;-86.0;19.0;52.0;-114.0;-131.0;-395.0;-58.0;20.0;25.0;-99.0;-262.0;86.0;21.0;42.0;8.0;-48.0;-174.0;290.0;41.0;45.0;-9.0;-14.0;68.0;366.0;46.0;35.0;-7.0;9.0;49.0;344.0;77.0;17.0;-12.0;20.0;-31.0;283.0;78.0;8.0;-15.0;19.0;-102.0;189.0;78.0;3.0;-11.0;17.0;32.0;83.0;38.0;-1.0;-18.0;12.0;111.0;48.0;-20.0;0.0;0.0;6.0;33.0;27.0;-33.0;-4.0;-5.0;4.0;90.0;4.0;-39.0;-2.0;8.0;-1.0;-75.0;3.0;4.0
DOWN2;-8.0;34.0;-120.0;25.0;433.0;22.0;-38.0;24.0;-71.0;254.0;1066.0;365.0;-104.0;7.0;53.0;80.0;1241.0;11.0;-91.0;-75.0;214.0;-47.0;625.0;56.0;-41.0;-78.0;192.0;8.0;-949.0;-377.0;40.0;-65.0;117.0;-57.0;-1634.0;-87.0;32.0;57.0;-76.0;492.0;-1741.0;-178.0;22.0;75.0;-121.0;-635.0;-560.0;-5.0;20.0;60.0;-144.0;136.0;-89.0;-21.0;52.0;14.0;-73.0;-420.0;480.0;12.0;56.0;-9.0;-13.0;95.0;470.0;41.0;47.0;-4.0;13.0;-150.0;532.0;44.0;13.0;-22.0;36.0;133.0;331.0;83.0;4.0;-3.0;29.0;-76.0;182.0;51.0;-3.0;-17.0;29.0;91.0;60.0;46.0;-1.0;1.0;12.0;-171.0;14.0;45.0
DOWN2;-20.0;41.0;-118.0;127.0;896.0;45.0;-56.0;26.0;-19.0;84.0;1463.0;224.0;-91.0;-57.0;177.0;-701.0;1254.0;5.0;-61.0;-75.0;214.0;92.0;-499.0;-58.0;2.0;-70.0;168.0;-269.0;-1562.0;-206.0;34.0;23.0;-28.0;1048.0;-1965.0;-291.0;26.0;83.0;-101.0;-584.0;-854.0;-5.0;5.0;41.0;-130.0;120.0;-303.0;-55.0;40.0;41.0;-97.0;-528.0;234.0;114.0;48.0;-29.0;-44.0;144.0;380.0;49.0;50.0;2.0;-5.0;-66.0;493.0;65.0;26.0;-24.0;24.0;105.0;424.0;82.0;11.0;-6.0;35.0;-80.0;295.0;52.0;4.0;-14.0;34.0;5.0;116.0;55.0;1.0;-13.0;21.0;48.0;17.0;-15.0;0.0;-9.0;9.0;149.0;-33.0;-44.0
DOWN2;-27.0;25.0;-76.0;272.0;1001.0;178.0;-87.0;12.0;34.0;-474.0;1003.0;-104.0;-111.0;-78.0;188.0;-102.0;567.0;-197.0;-37.0;-42.0;188.0;-361.0;-850.0;-187.0;12.0;-63.0;125.0;542.0;-1506.0;5.0;60.0;71.0;-73.0;-121.0;-1487.0;68.0;11.0;19.0;-112.0;65.0;-749.0;-54.0;30.0;62.0;-128.0;-449.0;30.0;-73.0;35.0;-2.0;-76.0;132.0;237.0;-37.0;52.0;21.0;-37.0;-259.0;493.0;0.0;46.0;-17.0;-8.0;133.0;434.0;199.0;33.0;-10.0;33.0;-159.0;417.0;126.0;0.0;-33.0;46.0;116.0;205.0;138.0;-2.0;-13.0;32.0;87.0;95.0;-54.0;-5.0;-10.0;14.0;106.0;15.0;-66.0;7.0;4.0;5.0;-10.0;-1.0;-17.0
DOWN2;-38.0;19.0;-50.0;-45.0;1111.0;60.0;-87.0;16.0;17.0;-494.0;717.0;-551.0;-113.0;-64.0;171.0;-136.0;358.0;-142.0;-52.0;-31.0;174.0;-67.0;-789.0;22.0;22.0;-15.0;140.0;236.0;-949.0;406.0;62.0;32.0;-51.0;-44.0;-1318.0;71.0;23.0;7.0;-90.0;-290.0;-815.0;-95.0;0.0;-21.0;-103.0;189.0;-367.0;-10.0;17.0;24.0;-62.0;-138.0;33.0;-133.0;40.0;9.0;-36.0;153.0;197.0;-59.0;46.0;5.0;-15.0;-40.0;313.0;37.0;33.0;-3.0;-2.0;163.0;289.0;40.0;23.0;-6.0;5.0;7.0;285.0;74.0;16.0;-6.0;15.0;67.0;229.0;56.0;7.0;-4.0;21.0;-31.0;172.0;44.0;4.0;0.0;17.0;-46.0;76.0;40.0
DOWN2;-12.0;28.0;-105.0;80.0;648.0;-32.0;-48.0;19.0;-43.0;136.0;1156.0;6.0;-73.0;-1.0;141.0;-648.0;1231.0;-52.0;-70.0;-32.0;202.0;-154.0;80.0;28.0;-17.0;-44.0;170.0;-383.0;-961.0;-69.0;28.0;-23.0;18.0;499.0;-1552.0;-179.0;23.0;16.0;-72.0;-52.0;-1124.0;-80.0;10.0;33.0;-99.0;-55.0;-607.0;-47.0;6.0;17.0;-93.0;-102.0;-123.0;-8.0;28.0;6.0;-54.0;23.0;138.0;-15.0;42.0;0.0;-32.0;79.0;292.0;24.0;37.0;0.0;-17.0;85.0;336.0;40.0;29.0;-4.0;3.0;-134.0;369.0;83.0;10.0;-4.0;17.0;-62.0;272.0;35.0;7.0;-13.0;26.0;-9.0;189.0;63.0;2.0;-4.0;19.0;89.0;67.0;-20.0
DOWN2;-5.0;32.0;-93.0;198.0;451.0;116.0;-18.0;14.0;-46.0;184.0;942.0;21.0;-83.0;11.0;83.0;-194.0;1200.0;75.0;-81.0;-51.0;184.0;-84.0;409.0;-176.0;-45.0;-7.0;169.0;-596.0;-496.0;53.0;33.0;-55.0;80.0;263.0;-1340.0;-167.0;38.0;36.0;-43.0;-239.0;-1141.0;-23.0;5.0;2.0;-88.0;207.0;-873.0;-147.0;1.0;45.0;-107.0;-221.0;-303.0;-26.0;18.0;12.0;-70.0;-118.0;35.0;47.0;41.0;-3.0;-37.0;-74.0;243.0;24.0;35.0;-9.0;-16.0;94.0;321.0;9.0;29.0;-3.0;-8.0;67.0;298.0;57.0;15.0;-14.0;7.0;66.0;279.0;67.0;11.0;-7.0;14.0;-29.0;215.0;93.0;3.0;-10.0;22.0;-4.0;145.0;32.0
DOWN2;-3.0;37.0;-97.0;241.0;637.0;140.0;-63.0;22.0;-41.0;4.0;979.0;206.0;-86.0;15.0;83.0;-507.0;1153.0;77.0;-90.0;-73.0;183.0;-257.0;207.0;-10.0;-5.0;-36.0;171.0;-402.0;-639.0;-79.0;36.0;-53.0;94.0;519.0;-1420.0;-150.0;38.0;64.0;-61.0;61.0;-1265.0;-232.0;9.0;37.0;-97.0;10.0;-770.0;-105.0;11.0;29.0;-112.0;-280.0;-155.0;87.0;29.0;0.0;-58.0;-246.0;215.0;84.0;36.0;-11.0;-32.0;78.0;288.0;13.0;34.0;-4.0;-11.0;66.0;333.0;18.0;25.0;-2.0;-3.0;112.0;284.0;36.0;21.0;-8.0;12.0;-30.0;297.0;70.0;11.0;-9.0;19.0;34.0;192.0;51.0;1.0;-13.0;24.0;-10.0;121.0;26.0
DOWN2;-36.0;27.0;-91.0;26.0;1002.0;331.0;-57.0;-15.0;61.0;-361.0;964.0;34.0;-101.0;-72.0;172.0;-185.0;628.0;182.0;-18.0;-40.0;194.0;-186.0;-531.0;-247.0;17.0;-37.0;88.0;340.0;-1048.0;-81.0;35.0;47.0;-31.0;21.0;-1346.0;-248.0;0.0;33.0;-94.0;39.0;-916.0;-139.0;0.0;58.0;-125.0;-297.0;-273.0;60.0;31.0;13.0;-84.0;-96.0;206.0;42.0;46.0;6.0;-49.0;49.0;403.0;67.0;41.0;-4.0;-10.0;56.0;483.0;100.0;26.0;-11.0;16.0;-144.0;404.0;133.0;6.0;-19.0;36.0;-31.0;279.0;78.0;-1.0;-21.0;34.0;-26.0;112.0;17.0;-2.0;-13.0;27.0;-12.0;40.0;-6.0;-1.0;-4.0;10.0;79.0;-91.0;-48.0
