Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
DOWN;-21.0;4.0;-38.0;57.0;595.0;458.0;-46.0;-31.0;22.0;370.0;782.0;528.0;-46.0;-37.0;106.0;537.0;483.0;341.0;-38.0;-69.0;129.0;89.0;-367.0;-273.0;-7.0;-24.0;74.0;-307.0;-948.0;-619.0;11.0;-16.0;-7.0;-214.0;-946.0;-783.0;16.0;46.0;-78.0;-198.0;-629.0;-529.0;25.0;37.0;-85.0;113.0;-199.0;-217.0;28.0;20.0;-56.0;112.0;76.0;81.0;31.0;18.0;-28.0;202.0;251.0;222.0;20.0;17.0;-9.0;64.0;287.0;252.0;16.0;10.0;6.0;-40.0;292.0;166.0;8.0;2.0;7.0;-131.0;179.0;121.0;12.0;-14.0;16.0;-55.0;150.0;31.0;7.0;-3.0;15.0;-39.0;54.0;47.0;3.0;-8.0;14.0;38.0;32.0;35.0
DOWN;-22.0;12.0;-55.0;-150.0;439.0;428.0;-55.0;-19.0;-11.0;56.0;761.0;605.0;-57.0;-81.0;127.0;334.0;450.0;126.0;-40.0;-67.0;160.0;64.0;-398.0;-431.0;8.0;-19.0;97.0;66.0;-1004.0;-758.0;22.0;16.0;-30.0;-142.0;-973.0;-496.0;12.0;34.0;-86.0;222.0;-577.0;-333.0;12.0;25.0;-90.0;-151.0;-336.0;-189.0;28.0;40.0;-79.0;21.0;64.0;-10.0;40.0;22.0;-45.0;2.0;369.0;205.0;38.0;20.0;-7.0;93.0;466.0;297.0;21.0;-6.0;26.0;23.0;391.0;243.0;11.0;-4.0;32.0;-57.0;229.0;148.0;-7.0;-22.0;32.0;18.0;92.0;72.0;-4.0;-3.0;18.0;-26.0;-30.0;64.0;-8.0;-8.0;2.0;-85.0;-87.0;10.0
DOWN;-66.0;-34.0;-6.0;393.0;835.0;466.0;-67.0;-59.0;109.0;422.0;489.0;49.0;-36.0;-60.0;161.0;260.0;-313.0;-440.0;9.0;5.0;91.0;-351.0;-1010.0;-546.0;16.0;7.0;-26.0;-231.0;-971.0;-507.0;14.0;16.0;-71.0;-105.0;-608.0;-392.0;12.0;7.0;-71.0;72.0;-377.0;-309.0;31.0;27.0;-54.0;10.0;-66.0;-53.0;36.0;27.0;-49.0;83.0;158.0;137.0;36.0;25.0;-35.0;33.0;379.0;267.0;20.0;10.0;-3.0;94.0;442.0;243.0;14.0;-2.0;25.0;-12.0;360.0;160.0;8.0;-19.0;39.0;-26.0;162.0;69.0;4.0;-16.0;26.0;-58.0;7.0;45.0;-3.0;-5.0;7.0;-21.0;-43.0;26.0;-6.0;1.0;-5.0;-63.0;-25.0;6.0
DOWN;-63.0;-31.0;-13.0;192.0;929.0;691.0;-74.0;-59.0;119.0;450.0;393.0;126.0;-44.0;-87.0;176.0;77.0;-474.0;-438.0;2.0;-4.0;94.0;-69.0;-1225.0;-812.0;26.0;7.0;-57.0;-220.0;-939.0;-558.0;26.0;43.0;-103.0;12.0;-509.0;-394.0;27.0;23.0;-72.0;-2.0;-184.0;-143.0;34.0;29.0;-44.0;73.0;115.0;56.0;31.0;30.0;-34.0;-126.0;297.0;239.0;27.0;10.0;-11.0;76.0;460.0;279.0;13.0;-3.0;16.0;-52.0;367.0;235.0;8.0;-23.0;39.0;124.0;232.0;94.0;0.0;-19.0;33.0;-104.0;-10.0;2.0;0.0;-7.0;11.0;66.0;-28.0;-13.0;-2.0;1.0;-3.0;-86.0;-67.0;-9.0;2.0;6.0;-8.0;47.0;-2.0;-9.0
DOWN;-27.0;37.0;-70.0;-106.0;649.0;670.0;-65.0;-66.0;26.0;610.0;890.0;708.0;-83.0;-71.0;109.0;243.0;310.0;-12.0;-33.0;-73.0;162.0;423.0;-460.0;-508.0;6.0;19.0;73.0;-332.0;-1075.0;-784.0;29.0;20.0;-27.0;-184.0;-928.0;-503.0;16.0;26.0;-82.0;-218.0;-578.0;-397.0;23.0;24.0;-85.0;-38.0;-269.0;-238.0;36.0;21.0;-51.0;214.0;115.0;44.0;34.0;17.0;-29.0;47.0;260.0;170.0;32.0;14.0;-10.0;41.0;427.0;277.0;20.0;6.0;13.0;49.0;396.0;246.0;8.0;-8.0;29.0;-72.0;236.0;167.0;1.0;-17.0;31.0;-61.0;64.0;68.0;-2.0;-14.0;18.0;-9.0;-25.0;37.0;-4.0;-6.0;3.0;20.0;-46.0;-19.0
DOWN;-35.0;-2.0;-48.0;-12.0;669.0;755.0;-77.0;-30.0;28.0;584.0;787.0;623.0;-72.0;-128.0;147.0;434.0;-21.0;-332.0;-18.0;-18.0;147.0;1.0;-744.0;-738.0;23.0;-2.0;37.0;-567.0;-1191.0;-848.0;32.0;52.0;-72.0;-139.0;-644.0;-295.0;11.0;3.0;-90.0;66.0;-409.0;-382.0;25.0;24.0;-60.0;102.0;-84.0;-128.0;37.0;40.0;-43.0;14.0;177.0;67.0;35.0;24.0;-25.0;132.0;358.0;259.0;25.0;11.0;-2.0;-47.0;420.0;278.0;17.0;1.0;20.0;30.0;355.0;254.0;6.0;-28.0;36.0;-83.0;153.0;147.0;2.0;-21.0;29.0;6.0;2.0;22.0;-3.0;-12.0;13.0;-38.0;-76.0;-37.0;-2.0;9.0;-6.0;-5.0;-39.0;-36.0
DOWN;-53.0;-67.0;133.0;515.0;-129.0;-411.0;-26.0;-5.0;118.0;-236.0;-890.0;-783.0;13.0;43.0;37.0;-606.0;-1112.0;-568.0;20.0;11.0;-78.0;-409.0;-755.0;-376.0;24.0;0.0;-95.0;84.0;-467.0;-389.0;38.0;10.0;-71.0;162.0;14.0;-147.0;35.0;45.0;-42.0;179.0;323.0;188.0;32.0;23.0;-18.0;219.0;455.0;340.0;15.0;10.0;8.0;79.0;398.0;311.0;11.0;-11.0;28.0;-66.0;250.0;194.0;1.0;-19.0;32.0;-169.0;70.0;41.0;6.0;-11.0;20.0;-32.0;1.0;11.0;-2.0;-9.0;6.0;-58.0;-41.0;4.0;1.0;-1.0;-3.0;102.0;-16.0;0.0;-2.0;2.0;-5.0;-15.0;-22.0;2.0;2.0;1.0;-2.0;44.0;17.0;-5.0
DOWN;-64.0;-66.0;6.0;669.0;825.0;613.0;-55.0;-83.0;97.0;599.0;398.0;-74.0;-23.0;-74.0;151.0;627.0;-230.0;-581.0;14.0;42.0;75.0;-660.0;-1049.0;-854.0;17.0;25.0;-21.0;-44.0;-866.0;-559.0;2.0;38.0;-84.0;-317.0;-675.0;-428.0;11.0;17.0;-81.0;20.0;-262.0;-228.0;32.0;31.0;-57.0;-134.0;89.0;59.0;40.0;30.0;-35.0;176.0;426.0;273.0;31.0;7.0;-2.0;124.0;459.0;359.0;18.0;-14.0;27.0;131.0;387.0;275.0;9.0;-20.0;41.0;-198.0;134.0;121.0;3.0;-24.0;30.0;1.0;5.0;14.0;-5.0;-4.0;7.0;-79.0;-85.0;-29.0;-5.0;0.0;-9.0;-49.0;-68.0;-40.0;-1.0;6.0;-9.0;0.0;-17.0;-4.0
DOWN;-61.0;-89.0;124.0;260.0;-34.0;-460.0;-9.0;-20.0;132.0;311.0;-684.0;-684.0;11.0;3.0;34.0;-558.0;-1099.0;-774.0;26.0;47.0;-64.0;-187.0;-652.0;-189.0;13.0;11.0;-96.0;-139.0;-392.0;-281.0;30.0;36.0;-60.0;-1.0;-39.0;-116.0;36.0;18.0;-37.0;100.0;183.0;69.0;30.0;16.0;-25.0;78.0;391.0;212.0;26.0;8.0;0.0;190.0;467.0;279.0;15.0;-2.0;26.0;-12.0;294.0;220.0;2.0;-16.0;35.0;-110.0;117.0;145.0;0.0;-21.0;26.0;-55.0;-16.0;24.0;-4.0;-11.0;6.0;-6.0;-49.0;-23.0;-1.0;2.0;-5.0;58.0;-37.0;-41.0;0.0;8.0;-6.0;-20.0;-21.0;4.0;0.0;3.0;-4.0;41.0;19.0;13.0
DOWN;-14.0;34.0;-59.0;28.0;554.0;670.0;-53.0;-51.0;22.0;479.0;786.0;753.0;-58.0;-69.0;90.0;259.0;442.0;212.0;-43.0;-76.0;134.0;464.0;-250.0;-471.0;8.0;28.0;69.0;-595.0;-890.0;-911.0;4.0;4.0;-6.0;83.0;-1015.0;-712.0;8.0;20.0;-68.0;-455.0;-741.0;-561.0;18.0;19.0;-85.0;170.0;-301.0;-199.0;42.0;35.0;-59.0;-17.0;176.0;39.0;44.0;41.0;-32.0;89.0;330.0;273.0;34.0;9.0;-6.0;144.0;439.0;413.0;19.0;-3.0;16.0;66.0;391.0;376.0;5.0;-16.0;29.0;-76.0;222.0;237.0;-5.0;-20.0;28.0;-80.0;34.0;41.0;-2.0;-12.0;13.0;-87.0;-49.0;-43.0;1.0;-11.0;4.0;59.0;-38.0;-71.0
