Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
LEFT2;-61.0;-191.0;-25.0;512.0;186.0;-756.0;-12.0;-90.0;-24.0;-6.0;245.0;-1803.0;31.0;154.0;4.0;-493.0;71.0;-1592.0;91.0;131.0;12.0;-728.0;420.0;-881.0;51.0;93.0;13.0;-598.0;222.0;-113.0;22.0;-22.0;11.0;147.0;308.0;404.0;-23.0;10.0;7.0;348.0;-267.0;512.0;-3.0;-7.0;-3.0;457.0;-200.0;502.0;9.0;-20.0;-9.0;75.0;-194.0;346.0;1.0;-12.0;-3.0;-145.0;56.0;319.0;-2.0;-31.0;4.0;39.0;31.0;159.0;-8.0;-7.0;1.0;45.0;-72.0;18.0;0.0;-4.0;-1.0;87.0;-25.0;9.0;0.0;-1.0;-3.0;-91.0;18.0;-17.0;-4.0;1.0;-1.0;-28.0;36.0;-3.0;1.0;2.0;2.0;-31.0;2.0;-4.0
LEFT2;6.0;60.0;10.0;291.0;-230.0;675.0;-12.0;19.0;-1.0;1.0;-253.0;1025.0;-44.0;-123.0;14.0;355.0;5.0;818.0;-55.0;-133.0;-13.0;134.0;25.0;-115.0;-36.0;-90.0;-10.0;15.0;118.0;-1069.0;9.0;13.0;-29.0;-248.0;-65.0;-1570.0;38.0;61.0;-15.0;-782.0;265.0;-1316.0;55.0;54.0;11.0;-421.0;450.0;-844.0;51.0;55.0;23.0;-168.0;460.0;-190.0;19.0;34.0;28.0;187.0;136.0;125.0;-10.0;35.0;-5.0;309.0;-228.0;469.0;-11.0;-6.0;-7.0;288.0;-266.0;487.0;-5.0;-14.0;-21.0;203.0;-225.0;522.0;15.0;-35.0;1.0;105.0;-10.0;318.0;-7.0;-22.0;1.0;5.0;-35.0;168.0;1.0;-9.0;4.0;-36.0;0.0;66.0
LEFT2;8.0;22.0;25.0;-16.0;-334.0;847.0;-48.0;-55.0;1.0;18.0;-149.0;926.0;-42.0;-137.0;1.0;462.0;-108.0;642.0;-69.0;-139.0;-21.0;631.0;102.0;-370.0;-23.0;-82.0;-25.0;681.0;240.0;-1136.0;-23.0;32.0;-8.0;-177.0;162.0;-1659.0;39.0;141.0;-6.0;-1331.0;277.0;-1438.0;85.0;115.0;24.0;-1330.0;181.0;-704.0;65.0;56.0;17.0;-599.0;527.0;33.0;26.0;-23.0;7.0;812.0;85.0;621.0;-28.0;13.0;-7.0;626.0;-44.0;618.0;-6.0;-42.0;-8.0;404.0;-501.0;410.0;0.0;-1.0;-8.0;-47.0;-113.0;235.0;9.0;-35.0;-5.0;27.0;-71.0;200.0;-9.0;0.0;0.0;79.0;64.0;171.0;-5.0;-9.0;3.0;22.0;-46.0;68.0
LEFT2;-74.0;-136.0;-4.0;112.0;274.0;-809.0;3.0;-29.0;-13.0;-151.0;298.0;-1450.0;29.0;135.0;-16.0;-1105.0;300.0;-1465.0;41.0;81.0;17.0;-795.0;277.0;-851.0;55.0;94.0;31.0;-282.0;248.0;-220.0;32.0;11.0;6.0;340.0;-168.0;262.0;9.0;32.0;-21.0;315.0;-261.0;530.0;10.0;-42.0;-13.0;257.0;-70.0;460.0;-11.0;-18.0;-13.0;152.0;4.0;361.0;-1.0;-23.0;6.0;150.0;72.0;238.0;-14.0;-11.0;-3.0;-61.0;-131.0;129.0;4.0;-21.0;3.0;35.0;75.0;87.0;-1.0;5.0;3.0;-69.0;51.0;36.0;-9.0;-9.0;10.0;89.0;-34.0;39.0;0.0;12.0;1.0;7.0;-82.0;2.0;2.0;-9.0;-9.0;-4.0;-59.0;-20.0
LEFT2;-1.0;103.0;25.0;-26.0;-73.0;1062.0;-48.0;-119.0;7.0;434.0;-514.0;964.0;-50.0;-164.0;-20.0;704.0;-96.0;265.0;-45.0;-205.0;-31.0;10.0;104.0;-983.0;3.0;27.0;-10.0;-301.0;709.0;-1361.0;29.0;92.0;14.0;-914.0;364.0;-1228.0;39.0;79.0;11.0;17.0;197.0;-540.0;28.0;50.0;2.0;-228.0;11.0;-255.0;10.0;9.0;4.0;129.0;-89.0;-50.0;14.0;20.0;-3.0;-2.0;-136.0;25.0;11.0;14.0;-9.0;-5.0;-108.0;165.0;2.0;-4.0;-2.0;240.0;-16.0;355.0;-5.0;6.0;-7.0;140.0;-67.0;329.0;-6.0;-17.0;12.0;197.0;-29.0;314.0;4.0;-7.0;3.0;1.0;-104.0;162.0;-2.0;-7.0;3.0;-66.0;-35.0;110.0
LEFT2;-41.0;-79.0;2.0;141.0;-371.0;1222.0;-51.0;-99.0;8.0;73.0;499.0;1078.0;-117.0;-252.0;0.0;34.0;-170.0;-101.0;1.0;-71.0;-14.0;312.0;435.0;-1389.0;5.0;10.0;-44.0;21.0;-342.0;-1919.0;60.0;116.0;-3.0;-561.0;482.0;-1400.0;44.0;180.0;9.0;-589.0;209.0;-595.0;40.0;74.0;47.0;-119.0;178.0;374.0;31.0;33.0;9.0;472.0;-264.0;798.0;2.0;-61.0;-10.0;82.0;-275.0;682.0;2.0;-49.0;-26.0;-68.0;-49.0;242.0;-15.0;-48.0;2.0;62.0;119.0;101.0;-8.0;18.0;4.0;38.0;32.0;82.0;2.0;-5.0;8.0;32.0;-26.0;96.0;0.0;-1.0;-4.0;-66.0;-20.0;58.0;1.0;-11.0;-4.0;5.0;32.0;42.0
LEFT2;11.0;83.0;-1.0;-8.0;-326.0;732.0;-20.0;-21.0;-26.0;374.0;-233.0;1190.0;-64.0;-179.0;9.0;98.0;289.0;680.0;-69.0;-217.0;-4.0;525.0;310.0;-566.0;-40.0;-63.0;-5.0;-91.0;359.0;-1721.0;10.0;98.0;-17.0;-356.0;-50.0;-1892.0;45.0;177.0;18.0;-869.0;131.0;-1046.0;79.0;104.0;39.0;-540.0;174.0;88.0;49.0;-13.0;15.0;154.0;-98.0;499.0;17.0;-32.0;-26.0;443.0;-92.0;621.0;-5.0;-43.0;-29.0;346.0;-251.0;167.0;-11.0;17.0;-7.0;98.0;166.0;215.0;1.0;1.0;14.0;-36.0;-13.0;215.0;-5.0;0.0;3.0;-55.0;-19.0;236.0;5.0;-17.0;-6.0;-33.0;-64.0;81.0;-6.0;-8.0;-9.0;11.0;21.0;31.0
LEFT2;23.0;26.0;-10.0;196.0;-344.0;844.0;-16.0;-8.0;-50.0;-39.0;79.0;1224.0;-60.0;-240.0;42.0;610.0;348.0;679.0;-59.0;-152.0;14.0;269.0;315.0;-839.0;-43.0;-85.0;13.0;125.0;-111.0;-1831.0;62.0;172.0;-34.0;-1147.0;24.0;-1783.0;44.0;159.0;-4.0;-1132.0;303.0;-755.0;61.0;49.0;24.0;-252.0;341.0;44.0;16.0;8.0;-2.0;538.0;23.0;394.0;9.0;-22.0;-15.0;606.0;-197.0;330.0;-5.0;18.0;-14.0;160.0;-121.0;312.0;0.0;-13.0;11.0;130.0;13.0;363.0;-11.0;-19.0;13.0;97.0;-107.0;369.0;4.0;-29.0;4.0;-34.0;-84.0;117.0;-1.0;-19.0;-10.0;-43.0;-17.0;4.0;-4.0;7.0;-6.0;-43.0;54.0;-28.0
LEFT2;-10.0;85.0;19.0;62.0;-203.0;715.0;-10.0;41.0;-9.0;78.0;-384.0;1165.0;-41.0;-150.0;-4.0;541.0;-210.0;1043.0;-49.0;-220.0;-6.0;526.0;231.0;-92.0;-61.0;-150.0;2.0;65.0;391.0;-1417.0;-18.0;24.0;-8.0;-302.0;127.0;-1881.0;52.0;169.0;-7.0;-1066.0;37.0;-1513.0;74.0;113.0;18.0;-479.0;325.0;-488.0;40.0;64.0;18.0;76.0;53.0;128.0;20.0;2.0;-11.0;287.0;-163.0;484.0;10.0;-4.0;-11.0;273.0;-237.0;508.0;13.0;7.0;-14.0;-42.0;35.0;443.0;-5.0;-46.0;4.0;396.0;63.0;408.0;-6.0;5.0;1.0;-2.0;-36.0;186.0;0.0;-41.0;4.0;22.0;3.0;89.0;-6.0;13.0;5.0;-171.0;50.0;-3.0
LEFT2;-54.0;-94.0;-10.0;73.0;127.0;-1192.0;26.0;51.0;10.0;-409.0;93.0;-1550.0;59.0;52.0;5.0;-560.0;228.0;-1044.0;43.0;60.0;4.0;-212.0;97.0;-428.0;36.0;38.0;8.0;89.0;70.0;-79.0;19.0;44.0;9.0;219.0;-238.0;251.0;25.0;39.0;4.0;-83.0;-237.0;590.0;11.0;-4.0;-8.0;-106.0;-156.0;795.0;-23.0;-57.0;-16.0;401.0;-5.0;752.0;-28.0;-59.0;-15.0;277.0;-72.0;198.0;-28.0;-56.0;-4.0;281.0;56.0;-276.0;6.0;9.0;4.0;-362.0;131.0;-582.0;17.0;12.0;6.0;-181.0;253.0;-383.0;12.0;36.0;1.0;-216.0;72.0;-169.0;5.0;12.0;0.0;88.0;-9.0;-15.0;0.0;13.0;-2.0;-15.0;-74.0;54.0
