Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
LEFT;-28.0;16.0;-16.0;-163.0;-124.0;956.0;-19.0;-96.0;-50.0;-185.0;-94.0;769.0;25.0;-166.0;-52.0;-329.0;-85.0;-212.0;59.0;-110.0;-38.0;71.0;59.0;-1037.0;59.0;-18.0;-11.0;162.0;302.0;-1164.0;7.0;60.0;10.0;103.0;436.0;-773.0;-27.0;53.0;33.0;75.0;307.0;-439.0;-34.0;49.0;37.0;117.0;134.0;-230.0;-31.0;56.0;31.0;70.0;-39.0;-62.0;-10.0;40.0;19.0;11.0;-129.0;66.0;11.0;30.0;7.0;-121.0;-168.0;255.0;26.0;5.0;-1.0;-20.0;-116.0;352.0;20.0;0.0;-9.0;-33.0;-80.0;395.0;6.0;-12.0;-13.0;26.0;-47.0;305.0;3.0;-23.0;-8.0;-10.0;-12.0;208.0;-1.0;-17.0;-4.0;29.0;-11.0;95.0
LEFT;2.0;-127.0;-39.0;-312.0;-58.0;77.0;41.0;-122.0;-37.0;-60.0;57.0;-782.0;49.0;-45.0;-21.0;61.0;254.0;-1026.0;24.0;37.0;-3.0;230.0;348.0;-1059.0;-13.0;54.0;22.0;110.0;307.0;-495.0;-27.0;44.0;28.0;77.0;182.0;-213.0;-20.0;33.0;27.0;44.0;65.0;-66.0;-10.0;34.0;21.0;116.0;-4.0;29.0;0.0;16.0;15.0;135.0;-33.0;124.0;6.0;25.0;6.0;-39.0;-127.0;211.0;8.0;15.0;3.0;-117.0;-157.0;254.0;8.0;13.0;-5.0;-140.0;-160.0;287.0;8.0;-16.0;-6.0;26.0;-82.0;256.0;5.0;-16.0;-9.0;-33.0;-65.0;197.0;2.0;-16.0;-7.0;-20.0;-33.0;60.0;1.0;-5.0;-2.0;2.0;3.0;1.0
LEFT;-35.0;83.0;26.0;14.0;-172.0;754.0;-47.0;15.0;-8.0;-230.0;-263.0;1005.0;-22.0;-111.0;-59.0;-519.0;-247.0;749.0;34.0;-173.0;-65.0;-138.0;-18.0;-290.0;62.0;-108.0;-43.0;-19.0;202.0;-967.0;50.0;-16.0;-6.0;346.0;414.0;-1227.0;-5.0;41.0;13.0;106.0;373.0;-966.0;-22.0;48.0;26.0;257.0;291.0;-649.0;-21.0;53.0;33.0;89.0;146.0;-311.0;-4.0;55.0;31.0;44.0;18.0;-23.0;-3.0;49.0;18.0;-33.0;-77.0;247.0;1.0;27.0;12.0;-147.0;-128.0;376.0;0.0;7.0;2.0;-34.0;-108.0;316.0;8.0;1.0;2.0;-59.0;-119.0;237.0;16.0;-5.0;-4.0;52.0;-129.0;195.0;16.0;-14.0;-7.0;12.0;-81.0;241.0
LEFT;-35.0;51.0;20.0;136.0;-199.0;896.0;-53.0;-32.0;-22.0;-135.0;-218.0;990.0;-33.0;-117.0;-59.0;-361.0;-210.0;545.0;31.0;-160.0;-78.0;-173.0;-34.0;-554.0;82.0;-89.0;-44.0;93.0;251.0;-1165.0;62.0;-12.0;0.0;315.0;495.0;-1194.0;0.0;51.0;35.0;103.0;450.0;-794.0;-34.0;42.0;33.0;66.0;258.0;-462.0;-33.0;49.0;23.0;161.0;131.0;-308.0;-18.0;51.0;22.0;23.0;-7.0;-122.0;2.0;52.0;22.0;126.0;-30.0;72.0;8.0;39.0;12.0;-101.0;-102.0;275.0;9.0;30.0;6.0;-103.0;-123.0;367.0;4.0;16.0;3.0;-98.0;-178.0;368.0;11.0;-13.0;2.0;-57.0;-149.0;338.0;16.0;-24.0;-5.0;8.0;-87.0;240.0
LEFT;-32.0;102.0;15.0;-57.0;-151.0;745.0;-50.0;24.0;-12.0;-33.0;-67.0;983.0;-34.0;-94.0;-47.0;-629.0;-274.0;518.0;20.0;-177.0;-38.0;-36.0;4.0;-398.0;52.0;-111.0;-20.0;-107.0;12.0;-1019.0;49.0;-35.0;-11.0;145.0;304.0;-1159.0;4.0;31.0;5.0;37.0;282.0;-975.0;-19.0;64.0;19.0;97.0;224.0;-754.0;-32.0;66.0;32.0;177.0;50.0;-387.0;-14.0;71.0;26.0;18.0;-62.0;-7.0;13.0;48.0;23.0;24.0;-123.0;320.0;20.0;35.0;2.0;-141.0;-113.0;542.0;19.0;-7.0;-4.0;-9.0;-73.0;562.0;8.0;-19.0;-15.0;-71.0;-56.0;401.0;10.0;-29.0;-9.0;49.0;-27.0;208.0;7.0;-25.0;-7.0;46.0;2.0;56.0
LEFT;-44.0;40.0;-6.0;-239.0;-216.0;947.0;-25.0;-88.0;-50.0;-429.0;-193.0;762.0;18.0;-165.0;-68.0;-291.0;-53.0;-10.0;63.0;-154.0;-44.0;169.0;171.0;-858.0;58.0;-37.0;-10.0;135.0;266.0;-1268.0;21.0;24.0;15.0;208.0;372.0;-1122.0;-21.0;62.0;30.0;71.0;270.0;-713.0;-34.0;63.0;30.0;209.0;173.0;-344.0;-30.0;75.0;26.0;159.0;16.0;-85.0;-12.0;65.0;21.0;-57.0;-127.0;153.0;6.0;51.0;10.0;-150.0;-150.0;402.0;16.0;10.0;3.0;-109.0;-101.0;535.0;16.0;-10.0;-6.0;-6.0;-74.0;432.0;12.0;-30.0;-8.0;-27.0;-69.0;224.0;12.0;-21.0;-6.0;4.0;-44.0;45.0;6.0;-12.0;-3.0;-44.0;-19.0;43.0
LEFT;-37.0;16.0;10.0;-5.0;-181.0;807.0;-38.0;-38.0;-34.0;-227.0;-225.0;728.0;-5.0;-139.0;-55.0;-193.0;-77.0;155.0;50.0;-138.0;-44.0;-93.0;78.0;-743.0;68.0;-71.0;-11.0;97.0;216.0;-1123.0;37.0;11.0;10.0;286.0;305.0;-1146.0;-16.0;62.0;17.0;195.0;273.0;-659.0;-34.0;44.0;18.0;187.0;190.0;-400.0;-25.0;64.0;15.0;6.0;56.0;-187.0;-9.0;53.0;22.0;156.0;30.0;30.0;3.0;65.0;16.0;-96.0;-106.0;252.0;8.0;27.0;8.0;-3.0;-61.0;424.0;11.0;3.0;2.0;-186.0;-111.0;479.0;10.0;-23.0;0.0;2.0;-50.0;351.0;12.0;-27.0;-1.0;-65.0;-99.0;163.0;4.0;-9.0;-9.0;-22.0;-75.0;42.0
LEFT;-39.0;26.0;3.0;157.0;-116.0;834.0;-38.0;-48.0;-37.0;-198.0;-113.0;653.0;4.0;-148.0;-53.0;-164.0;-105.0;79.0;50.0;-132.0;-46.0;-162.0;87.0;-733.0;68.0;-71.0;-21.0;84.0;205.0;-1111.0;31.0;26.0;10.0;208.0;415.0;-1118.0;-18.0;56.0;24.0;108.0;287.0;-721.0;-40.0;60.0;34.0;232.0;172.0;-362.0;-29.0;62.0;32.0;77.0;3.0;-74.0;-11.0;56.0;27.0;59.0;-109.0;208.0;8.0;50.0;9.0;-81.0;-139.0;446.0;16.0;9.0;0.0;-38.0;-111.0;536.0;13.0;-9.0;-12.0;-159.0;-97.0;391.0;5.0;-23.0;-10.0;-60.0;-65.0;154.0;4.0;-10.0;-7.0;-20.0;-49.0;-7.0;4.0;-8.0;-2.0;12.0;-20.0;0.0
LEFT;-35.0;33.0;11.0;-21.0;-54.0;935.0;-40.0;-29.0;-26.0;-385.0;-152.0;877.0;-8.0;-154.0;-60.0;-424.0;-216.0;231.0;43.0;-135.0;-52.0;-29.0;0.0;-625.0;60.0;-92.0;-17.0;317.0;207.0;-1018.0;31.0;0.0;18.0;385.0;403.0;-1088.0;-12.0;39.0;20.0;174.0;260.0;-826.0;-28.0;49.0;15.0;266.0;180.0;-567.0;-29.0;69.0;13.0;175.0;74.0;-303.0;-13.0;61.0;21.0;39.0;-21.0;-66.0;4.0;72.0;26.0;-21.0;-106.0;232.0;14.0;40.0;15.0;-113.0;-130.0;494.0;14.0;15.0;3.0;-117.0;-108.0;568.0;10.0;-23.0;-5.0;-147.0;-82.0;411.0;12.0;-26.0;-4.0;-100.0;-54.0;173.0;7.0;-19.0;-9.0;-10.0;-24.0;31.0
LEFT;-35.0;49.0;17.0;-17.0;-182.0;772.0;-35.0;-8.0;-29.0;-243.0;-164.0;779.0;-12.0;-108.0;-58.0;-362.0;-161.0;430.0;36.0;-139.0;-63.0;-178.0;-3.0;-284.0;56.0;-111.0;-30.0;111.0;194.0;-789.0;46.0;-46.0;5.0;315.0;327.0;-1063.0;3.0;17.0;24.0;186.0;333.0;-916.0;-23.0;43.0;25.0;178.0;232.0;-689.0;-32.0;57.0;15.0;153.0;114.0;-425.0;-23.0;63.0;11.0;166.0;35.0;-159.0;-7.0;60.0;18.0;13.0;-38.0;115.0;5.0;58.0;19.0;-101.0;-95.0;343.0;10.0;25.0;16.0;-79.0;-101.0;479.0;14.0;-2.0;4.0;-49.0;-149.0;426.0;13.0;-28.0;-7.0;-33.0;-91.0;294.0;17.0;-24.0;-9.0;-50.0;-75.0;119.0
