Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
QW;15.0;160.0;-127.0;-2284.0;230.0;348.0;12.0;154.0;-72.0;-7483.0;734.0;624.0;-11.0;-106.0;103.0;-6724.0;973.0;480.0;-3.0;-170.0;105.0;-189.0;383.0;-87.0;-17.0;-102.0;104.0;2877.0;-27.0;-242.0;-25.0;-93.0;80.0;3466.0;-523.0;-552.0;-20.0;36.0;14.0;1298.0;-345.0;-114.0;1.0;-17.0;10.0;126.0;-306.0;-127.0;0.0;24.0;-16.0;344.0;-110.0;30.0;7.0;-2.0;-2.0;-220.0;-46.0;0.0;-2.0;8.0;-4.0;-58.0;29.0;39.0;2.0;-15.0;3.0;88.0;11.0;-8.0;-2.0;10.0;-3.0;31.0;0.0;-20.0;3.0;-11.0;5.0;112.0;41.0;-9.0;-3.0;9.0;0.0;-97.0;22.0;-24.0;-2.0;1.0;2.0;14.0;10.0;3.0
QW;15.0;189.0;-111.0;-214.0;-161.0;165.0;3.0;163.0;-102.0;-4273.0;224.0;196.0;41.0;7.0;107.0;-7527.0;752.0;101.0;-3.0;-140.0;56.0;-3021.0;640.0;135.0;-4.0;-145.0;93.0;470.0;148.0;160.0;-18.0;-126.0;75.0;2608.0;-172.0;-369.0;-14.0;-70.0;56.0;2864.0;-409.0;-257.0;-11.0;17.0;-5.0;927.0;-296.0;-184.0;6.0;0.0;5.0;733.0;-86.0;5.0;4.0;38.0;-9.0;-184.0;8.0;-7.0;4.0;-7.0;4.0;6.0;32.0;29.0;-1.0;10.0;-1.0;-170.0;20.0;-25.0;1.0;-10.0;4.0;79.0;23.0;5.0;0.0;5.0;-1.0;-158.0;15.0;-16.0;-2.0;-3.0;3.0;64.0;32.0;12.0;-2.0;4.0;-2.0;-73.0;-42.0;-15.0
QW;-29.0;125.0;-232.0;4790.0;-1016.0;467.0;5.0;135.0;-116.0;-2.0;-495.0;269.0;13.0;215.0;-119.0;-4653.0;96.0;291.0;44.0;1.0;143.0;-7921.0;1400.0;-181.0;4.0;-69.0;66.0;-3364.0;1027.0;99.0;-15.0;-146.0;119.0;559.0;188.0;287.0;-11.0;-122.0;87.0;2272.0;-380.0;-227.0;-4.0;-77.0;57.0;2978.0;-445.0;-347.0;0.0;18.0;-2.0;408.0;-281.0;-242.0;1.0;2.0;6.0;908.0;52.0;-65.0;-3.0;18.0;-8.0;-161.0;-72.0;-18.0;0.0;6.0;-1.0;267.0;44.0;33.0;-1.0;-3.0;-3.0;-95.0;-25.0;0.0;1.0;4.0;0.0;41.0;10.0;-6.0;-2.0;-5.0;-2.0;-47.0;-9.0;-5.0;0.0;3.0;3.0;4.0;15.0;16.0
QW;-10.0;198.0;-141.0;1068.0;-385.0;420.0;20.0;114.0;-106.0;-1973.0;217.0;74.0;24.0;155.0;-9.0;-5817.0;420.0;-4.0;19.0;-44.0;33.0;-3398.0;575.0;-276.0;-9.0;3.0;34.0;-3521.0;286.0;461.0;-11.0;-118.0;94.0;-1742.0;233.0;331.0;-2.0;-152.0;114.0;1642.0;-12.0;-64.0;-7.0;-103.0;88.0;3278.0;-206.0;-354.0;8.0;6.0;32.0;2209.0;-281.0;-238.0;-3.0;18.0;-10.0;455.0;-111.0;-70.0;3.0;5.0;-4.0;175.0;-9.0;-9.0;-2.0;6.0;-2.0;-34.0;58.0;26.0;-4.0;-6.0;4.0;-131.0;26.0;4.0;-3.0;1.0;5.0;99.0;-18.0;-21.0;1.0;-10.0;3.0;2.0;-59.0;-12.0;1.0;1.0;2.0;165.0;-23.0;-4.0
QW;26.0;170.0;-123.0;863.0;-161.0;194.0;18.0;152.0;-120.0;-4483.0;376.0;239.0;28.0;-41.0;83.0;-6012.0;894.0;-240.0;-10.0;-58.0;47.0;-3600.0;530.0;-3.0;-3.0;-35.0;62.0;-1986.0;513.0;307.0;-1.0;-127.0;84.0;-638.0;-1.0;155.0;-17.0;-127.0;71.0;2610.0;25.0;-79.0;-25.0;-97.0;57.0;3052.0;-575.0;-332.0;-8.0;38.0;30.0;1966.0;-71.0;-94.0;0.0;12.0;6.0;-100.0;-333.0;-95.0;4.0;4.0;-1.0;39.0;-7.0;19.0;-1.0;-6.0;-1.0;-34.0;-27.0;-4.0;2.0;5.0;4.0;175.0;3.0;12.0;1.0;10.0;-3.0;-31.0;-33.0;-13.0;3.0;5.0;1.0;49.0;12.0;-15.0;-2.0;7.0;-8.0;-247.0;-26.0;-38.0
QW;54.0;182.0;-165.0;4022.0;-816.0;183.0;41.0;178.0;-84.0;-332.0;-232.0;53.0;19.0;260.0;-85.0;-6322.0;-75.0;-75.0;-47.0;-65.0;88.0;-6535.0;1040.0;-9.0;-39.0;-97.0;40.0;-2633.0;621.0;224.0;-12.0;-126.0;107.0;531.0;54.0;485.0;1.0;-159.0;72.0;1965.0;-230.0;-58.0;-2.0;-49.0;37.0;2810.0;-220.0;-317.0;4.0;-26.0;11.0;1099.0;-120.0;-246.0;-13.0;38.0;2.0;847.0;84.0;-168.0;-3.0;-16.0;8.0;-75.0;-81.0;20.0;-11.0;19.0;0.0;251.0;2.0;-15.0;5.0;-1.0;7.0;-63.0;-108.0;7.0;2.0;9.0;-2.0;-77.0;-39.0;-8.0;7.0;-7.0;-1.0;-87.0;-1.0;7.0;-8.0;10.0;3.0;-63.0;80.0;-16.0
QW;2.0;172.0;-108.0;-1156.0;-61.0;25.0;-4.0;221.0;-46.0;-6033.0;49.0;406.0;-60.0;-48.0;33.0;-5841.0;410.0;504.0;-6.0;-63.0;34.0;-3798.0;431.0;470.0;11.0;-211.0;124.0;121.0;-11.0;215.0;0.0;-143.0;89.0;2506.0;-193.0;-285.0;1.0;-78.0;66.0;3834.0;-258.0;-484.0;-8.0;59.0;-14.0;766.0;-69.0;-195.0;2.0;-9.0;1.0;532.0;61.0;-16.0;-1.0;10.0;0.0;-141.0;2.0;49.0;-1.0;-13.0;3.0;101.0;31.0;16.0;-2.0;-4.0;-3.0;14.0;-42.0;-43.0;0.0;-5.0;0.0;72.0;-39.0;-28.0;3.0;2.0;-3.0;55.0;3.0;-18.0;-2.0;2.0;2.0;70.0;-4.0;1.0;0.0;5.0;1.0;86.0;6.0;4.0
QW;-1.0;179.0;-155.0;2039.0;-271.0;375.0;17.0;157.0;-155.0;-3333.0;-16.0;698.0;45.0;82.0;26.0;-7385.0;522.0;353.0;1.0;-50.0;72.0;-4665.0;668.0;-198.0;-16.0;-37.0;91.0;-1839.0;581.0;382.0;-9.0;-89.0;106.0;125.0;193.0;250.0;-5.0;-114.0;85.0;1757.0;-185.0;-66.0;-13.0;-72.0;44.0;1823.0;-336.0;-397.0;-9.0;-48.0;26.0;1511.0;-289.0;-217.0;-7.0;7.0;-2.0;969.0;-155.0;-108.0;2.0;-6.0;2.0;328.0;-173.0;-66.0;-1.0;14.0;-4.0;165.0;-67.0;9.0;2.0;-8.0;1.0;132.0;-21.0;0.0;-1.0;7.0;-11.0;-21.0;-8.0;-9.0;4.0;-9.0;4.0;157.0;56.0;-17.0;1.0;8.0;-1.0;-72.0;-8.0;-4.0
QW;-24.0;-46.0;-149.0;5627.0;-174.0;-166.0;16.0;184.0;-130.0;2665.0;-598.0;44.0;4.0;204.0;-117.0;-2100.0;222.0;-53.0;26.0;169.0;22.0;-6896.0;307.0;103.0;-8.0;-50.0;45.0;-5886.0;1074.0;284.0;-15.0;-66.0;36.0;-3321.0;638.0;439.0;6.0;-188.0;115.0;533.0;-18.0;152.0;-18.0;-129.0;80.0;3161.0;-366.0;-262.0;-3.0;-97.0;74.0;4178.0;-474.0;-429.0;-6.0;44.0;15.0;867.0;-114.0;-108.0;5.0;-16.0;4.0;437.0;-37.0;-93.0;5.0;28.0;4.0;-348.0;-66.0;4.0;-2.0;-5.0;0.0;93.0;50.0;27.0;-1.0;13.0;3.0;-105.0;-36.0;-6.0;0.0;-7.0;-4.0;111.0;-5.0;-8.0;3.0;8.0;-1.0;-186.0;-21.0;2.0
QW;37.0;187.0;-134.0;-25.0;-86.0;372.0;48.0;208.0;-105.0;-4272.0;-145.0;126.0;31.0;73.0;116.0;-7918.0;1124.0;-278.0;-27.0;-82.0;55.0;-4683.0;949.0;291.0;-39.0;-182.0;66.0;-949.0;229.0;132.0;-10.0;-193.0;140.0;3412.0;-43.0;147.0;-17.0;-113.0;85.0;4225.0;-778.0;-738.0;-5.0;45.0;41.0;2068.0;-152.0;75.0;2.0;37.0;-12.0;-360.0;-260.0;-406.0;0.0;34.0;-7.0;313.0;35.0;137.0;2.0;-4.0;9.0;-380.0;-43.0;-20.0;2.0;-5.0;-2.0;287.0;51.0;14.0;2.0;12.0;-5.0;-181.0;22.0;-84.0;-3.0;5.0;-3.0;76.0;56.0;-9.0;-2.0;8.0;5.0;-134.0;-22.0;-10.0;1.0;-4.0;9.0;60.0;-25.0;28.0
