Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
QW;-9.0;79.0;-34.0;2331.0;365.0;-165.0;-22.0;157.0;-28.0;-52.0;26.0;-153.0;-17.0;181.0;-19.0;-2299.0;-156.0;-45.0;-10.0;15.0;11.0;-2332.0;-358.0;230.0;2.0;7.0;-17.0;-2450.0;-151.0;299.0;1.0;-123.0;1.0;-2390.0;-248.0;-117.0;22.0;-128.0;13.0;-1213.0;-96.0;-260.0;9.0;-183.0;34.0;1631.0;26.0;-266.0;17.0;-46.0;12.0;2453.0;186.0;59.0;-4.0;12.0;-6.0;1514.0;54.0;153.0;7.0;17.0;-7.0;622.0;60.0;73.0;-2.0;21.0;-4.0;-67.0;7.0;17.0;-1.0;12.0;2.0;-113.0;51.0;24.0;1.0;2.0;7.0;-95.0;19.0;7.0;0.0;4.0;5.0;-30.0;7.0;14.0;-1.0;-7.0;3.0;63.0;-12.0;1.0
QW;-9.0;-20.0;-76.0;3994.0;255.0;1.0;-32.0;210.0;-46.0;607.0;22.0;-23.0;-18.0;267.0;-28.0;-2095.0;-193.0;230.0;-7.0;129.0;64.0;-4329.0;-316.0;125.0;19.0;-98.0;17.0;-2340.0;-160.0;10.0;5.0;-137.0;-11.0;-2265.0;-196.0;-343.0;15.0;-144.0;-2.0;-1330.0;-54.0;-249.0;9.0;-171.0;20.0;1849.0;53.0;-87.0;14.0;-59.0;8.0;2207.0;170.0;149.0;6.0;13.0;-3.0;1964.0;120.0;126.0;3.0;31.0;-8.0;434.0;50.0;59.0;-3.0;5.0;1.0;517.0;58.0;-24.0;-4.0;16.0;7.0;-150.0;-4.0;-34.0;1.0;10.0;10.0;-102.0;21.0;3.0;1.0;10.0;7.0;-321.0;-35.0;39.0;0.0;-3.0;4.0;-111.0;-10.0;44.0
QW;-2.0;92.0;-98.0;3554.0;537.0;-127.0;-23.0;197.0;-32.0;-335.0;51.0;-101.0;-21.0;232.0;-27.0;-3307.0;-346.0;39.0;-19.0;68.0;69.0;-5575.0;-690.0;207.0;3.0;-154.0;5.0;-2399.0;-211.0;-77.0;14.0;-183.0;0.0;-892.0;-52.0;-325.0;8.0;-152.0;29.0;1519.0;75.0;-184.0;13.0;-69.0;25.0;2570.0;116.0;105.0;-2.0;10.0;9.0;1615.0;84.0;175.0;8.0;-9.0;-4.0;626.0;55.0;83.0;2.0;34.0;-6.0;-54.0;24.0;39.0;3.0;12.0;-1.0;-49.0;12.0;12.0;2.0;3.0;3.0;-153.0;19.0;23.0;0.0;-4.0;2.0;-23.0;5.0;2.0;0.0;-3.0;3.0;-23.0;7.0;14.0;-2.0;3.0;0.0;-15.0;-6.0;4.0
QW;-4.0;81.0;-157.0;4386.0;355.0;-78.0;-17.0;144.0;0.0;622.0;-18.0;-236.0;-22.0;267.0;-26.0;-3056.0;-249.0;136.0;-5.0;65.0;144.0;-5121.0;-389.0;208.0;3.0;-54.0;-28.0;-2527.0;-2.0;115.0;9.0;-151.0;-16.0;-2024.0;-358.0;-363.0;3.0;-184.0;15.0;1150.0;2.0;-252.0;17.0;-114.0;34.0;2744.0;11.0;71.0;10.0;-1.0;26.0;2811.0;406.0;274.0;9.0;37.0;-3.0;-216.0;20.0;115.0;-2.0;17.0;-6.0;-23.0;20.0;4.0;1.0;8.0;3.0;-213.0;23.0;-3.0;-2.0;2.0;5.0;-97.0;13.0;5.0;-2.0;-6.0;7.0;-27.0;10.0;3.0;-2.0;2.0;3.0;-56.0;-24.0;-12.0;-1.0;-1.0;-1.0;-2.0;-6.0;-10.0
QW;-8.0;-32.0;-145.0;4588.0;385.0;14.0;-27.0;201.0;-12.0;710.0;122.0;-132.0;-26.0;233.0;-24.0;-1376.0;-139.0;6.0;-1.0;146.0;140.0;-4732.0;-425.0;32.0;10.0;-75.0;7.0;-2077.0;-183.0;211.0;-1.0;-116.0;-23.0;-2153.0;-239.0;-279.0;11.0;-182.0;-5.0;-1472.0;-202.0;-106.0;22.0;-141.0;5.0;1933.0;7.0;-147.0;23.0;-68.0;23.0;2781.0;243.0;218.0;2.0;63.0;0.0;1853.0;228.0;49.0;-4.0;2.0;-1.0;-19.0;84.0;49.0;-2.0;9.0;3.0;-86.0;37.0;7.0;0.0;1.0;9.0;-177.0;29.0;28.0;1.0;0.0;7.0;-71.0;4.0;7.0;-1.0;3.0;5.0;-73.0;3.0;1.0;-2.0;-2.0;1.0;43.0;-17.0;-17.0
QW;-20.0;171.0;-55.0;1988.0;350.0;-161.0;-16.0;128.0;-15.0;757.0;191.0;-47.0;-24.0;233.0;-14.0;-3359.0;-342.0;-25.0;5.0;-45.0;49.0;-2785.0;-395.0;274.0;-1.0;-31.0;8.0;-2333.0;-332.0;60.0;12.0;-94.0;10.0;-1484.0;-152.0;-176.0;14.0;-124.0;10.0;-107.0;-148.0;-151.0;12.0;-95.0;5.0;1432.0;71.0;-39.0;14.0;-29.0;-1.0;1559.0;148.0;180.0;0.0;4.0;-1.0;886.0;169.0;44.0;1.0;10.0;2.0;84.0;53.0;21.0;-4.0;0.0;1.0;142.0;57.0;0.0;-2.0;3.0;1.0;53.0;37.0;-6.0;2.0;1.0;1.0;35.0;26.0;2.0;1.0;0.0;3.0;-70.0;-27.0;-2.0;0.0;4.0;-1.0;-34.0;-16.0;9.0
QW;-20.0;86.0;-86.0;2923.0;550.0;-32.0;-17.0;135.0;-18.0;-380.0;-77.0;-73.0;-17.0;176.0;-18.0;-2536.0;-264.0;-40.0;11.0;46.0;73.0;-4041.0;-645.0;144.0;3.0;-62.0;-15.0;-2348.0;-63.0;-84.0;12.0;-157.0;-7.0;-1575.0;-211.0;-180.0;6.0;-165.0;13.0;1019.0;-23.0;-189.0;9.0;-79.0;22.0;2538.0;62.0;118.0;8.0;20.0;12.0;1930.0;271.0;174.0;6.0;38.0;-12.0;231.0;115.0;73.0;6.0;-6.0;5.0;112.0;48.0;29.0;0.0;14.0;6.0;55.0;47.0;-9.0;-2.0;-1.0;11.0;-156.0;8.0;19.0;-2.0;13.0;1.0;-109.0;-15.0;1.0;-2.0;-1.0;-2.0;-95.0;-7.0;5.0;1.0;-3.0;0.0;-7.0;-3.0;-23.0
QW;-18.0;119.0;-108.0;3118.0;583.0;-16.0;-20.0;112.0;-14.0;258.0;63.0;-6.0;-23.0;237.0;-32.0;-2586.0;-261.0;51.0;6.0;-7.0;98.0;-3598.0;-574.0;143.0;4.0;-3.0;-13.0;-2425.0;-196.0;-44.0;12.0;-134.0;-15.0;-2171.0;-227.0;-231.0;17.0;-187.0;-9.0;-712.0;-140.0;-223.0;15.0;-140.0;3.0;2655.0;125.0;-15.0;17.0;-46.0;25.0;2881.0;367.0;168.0;-3.0;73.0;2.0;1428.0;158.0;95.0;0.0;12.0;15.0;115.0;64.0;65.0;-6.0;28.0;9.0;-179.0;-14.0;33.0;-4.0;2.0;10.0;120.0;19.0;37.0;-2.0;24.0;7.0;-503.0;-46.0;1.0;0.0;1.0;4.0;-10.0;4.0;15.0;0.0;5.0;5.0;-148.0;-25.0;-13.0
QW;-29.0;118.0;-90.0;2901.0;564.0;-387.0;0.0;167.0;-20.0;-446.0;-67.0;-108.0;-25.0;210.0;-7.0;-2872.0;-369.0;119.0;17.0;-11.0;79.0;-3810.0;-661.0;537.0;-10.0;-97.0;-1.0;-1681.0;-69.0;58.0;19.0;-115.0;2.0;-1651.0;-131.0;-228.0;17.0;-167.0;5.0;609.0;4.0;-190.0;17.0;-79.0;4.0;2159.0;112.0;49.0;11.0;-24.0;16.0;2224.0;270.0;165.0;-4.0;54.0;-7.0;556.0;112.0;57.0;-5.0;4.0;6.0;-9.0;21.0;50.0;-5.0;20.0;1.0;-22.0;7.0;-12.0;-2.0;0.0;7.0;-87.0;-14.0;0.0;-1.0;5.0;3.0;-90.0;-26.0;-17.0;3.0;1.0;1.0;-34.0;6.0;29.0;-1.0;-1.0;0.0;-52.0;-4.0;-15.0
QW;3.0;-6.0;-72.0;3541.0;325.0;-49.0;-25.0;144.0;-21.0;904.0;134.0;-158.0;-25.0;193.0;-33.0;-1156.0;-78.0;21.0;-14.0;141.0;60.0;-3708.0;-339.0;137.0;11.0;-9.0;7.0;-2188.0;-189.0;299.0;3.0;-86.0;-1.0;-2424.0;-262.0;-116.0;7.0;-150.0;12.0;-983.0;-127.0;-59.0;8.0;-159.0;14.0;766.0;-118.0;-217.0;13.0;-48.0;4.0;2285.0;111.0;46.0;5.0;-3.0;-4.0;1173.0;106.0;-47.0;5.0;23.0;-9.0;581.0;136.0;58.0;6.0;-21.0;9.0;261.0;127.0;49.0;-3.0;19.0;-2.0;205.0;52.0;21.0;0.0;-3.0;10.0;159.0;45.0;3.0;-2.0;22.0;3.0;-100.0;-10.0;15.0;1.0;-4.0;7.0;-93.0;-9.0;11.0
