Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
RIGHT2;-44.0;-84.0;1.0;5.0;295.0;-1227.0;-64.0;24.0;13.0;178.0;189.0;-1224.0;-63.0;183.0;15.0;71.0;-151.0;-555.0;18.0;199.0;-1.0;-139.0;-348.0;423.0;96.0;148.0;-20.0;-312.0;-309.0;1016.0;105.0;79.0;-22.0;-259.0;-65.0;1264.0;55.0;8.0;-6.0;25.0;38.0;1280.0;-15.0;-57.0;19.0;127.0;-37.0;1132.0;-54.0;-103.0;27.0;386.0;-183.0;958.0;-43.0;-109.0;22.0;251.0;-202.0;503.0;-6.0;-94.0;-9.0;118.0;-74.0;-48.0;26.0;-68.0;-10.0;-16.0;153.0;-538.0;14.0;-31.0;-15.0;71.0;265.0;-729.0;-2.0;17.0;-1.0;-93.0;259.0;-604.0;-16.0;27.0;6.0;-302.0;133.0;-297.0;1.0;28.0;5.0;-284.0;-30.0;-115.0
RIGHT2;-40.0;-95.0;8.0;-181.0;216.0;-1186.0;-79.0;-44.0;5.0;-495.0;346.0;-1805.0;-151.0;169.0;23.0;110.0;-5.0;-1545.0;-44.0;247.0;-31.0;644.0;-483.0;-257.0;113.0;267.0;-54.0;5.0;-297.0;1277.0;233.0;130.0;-69.0;237.0;-8.0;1609.0;101.0;-15.0;6.0;-879.0;491.0;1782.0;-3.0;-128.0;40.0;283.0;49.0;1137.0;-59.0;-138.0;39.0;-161.0;-22.0;1086.0;-22.0;-108.0;26.0;388.0;-137.0;400.0;-29.0;-58.0;5.0;243.0;-64.0;53.0;-19.0;-30.0;7.0;93.0;-57.0;-77.0;1.0;-35.0;1.0;120.0;-55.0;-271.0;4.0;-14.0;5.0;-29.0;-3.0;-261.0;11.0;-19.0;3.0;-22.0;-12.0;-321.0;7.0;5.0;-5.0;-35.0;-26.0;-280.0
RIGHT2;-80.0;-122.0;4.0;-205.0;325.0;-1665.0;-163.0;39.0;30.0;761.0;189.0;-1767.0;-108.0;322.0;-21.0;183.0;-463.0;-910.0;71.0;322.0;-65.0;334.0;-719.0;1118.0;218.0;162.0;-115.0;-374.0;-408.0;1836.0;168.0;-42.0;-59.0;-34.0;388.0;1954.0;22.0;-72.0;14.0;-242.0;608.0;1232.0;-48.0;-77.0;59.0;-332.0;441.0;1068.0;-50.0;-100.0;74.0;-87.0;115.0;779.0;-58.0;-115.0;62.0;129.0;-171.0;253.0;-25.0;-91.0;37.0;434.0;-274.0;-60.0;-1.0;-67.0;10.0;154.0;-215.0;-354.0;31.0;-20.0;-13.0;378.0;-114.0;-440.0;27.0;-2.0;-15.0;-260.0;2.0;-544.0;20.0;27.0;-13.0;31.0;-20.0;-447.0;8.0;13.0;-5.0;-358.0;34.0;-335.0
RIGHT2;-32.0;-119.0;7.0;-67.0;11.0;-717.0;-49.0;-88.0;2.0;-347.0;192.0;-1285.0;-59.0;24.0;18.0;34.0;418.0;-1371.0;-117.0;181.0;-2.0;226.0;143.0;-1076.0;9.0;279.0;-20.0;260.0;-247.0;594.0;94.0;198.0;-72.0;179.0;-390.0;1506.0;157.0;55.0;-29.0;-316.0;-83.0;2065.0;47.0;-95.0;14.0;-21.0;136.0;1317.0;-31.0;-123.0;50.0;-185.0;19.0;934.0;-33.0;-127.0;34.0;166.0;-194.0;555.0;-23.0;-112.0;4.0;266.0;-201.0;82.0;7.0;-58.0;-11.0;187.0;-64.0;-262.0;15.0;-15.0;-16.0;147.0;70.0;-411.0;14.0;13.0;-11.0;12.0;108.0;-373.0;10.0;20.0;1.0;-46.0;80.0;-259.0;11.0;16.0;10.0;-103.0;36.0;-159.0
RIGHT2;-43.0;-26.0;-1.0;-109.0;239.0;-1106.0;-64.0;32.0;-2.0;415.0;192.0;-1107.0;-60.0;234.0;-20.0;294.0;-188.0;-417.0;47.0;243.0;-32.0;128.0;-251.0;1171.0;116.0;174.0;-25.0;-189.0;-282.0;1822.0;91.0;-33.0;21.0;-295.0;45.0;1963.0;-16.0;-140.0;36.0;63.0;-66.0;952.0;-66.0;-125.0;33.0;33.0;-77.0;628.0;-45.0;-115.0;13.0;136.0;-227.0;209.0;-8.0;-85.0;-2.0;158.0;-167.0;-117.0;21.0;-60.0;-15.0;-14.0;-59.0;-465.0;37.0;-24.0;-20.0;194.0;115.0;-621.0;26.0;20.0;-15.0;-103.0;212.0;-580.0;13.0;23.0;-5.0;-23.0;187.0;-396.0;3.0;33.0;4.0;-205.0;93.0;-235.0;6.0;12.0;5.0;11.0;6.0;-130.0
RIGHT2;-50.0;-4.0;-2.0;78.0;145.0;-1480.0;-93.0;112.0;-25.0;851.0;-119.0;-1271.0;-26.0;291.0;-21.0;238.0;-302.0;-67.0;60.0;211.0;-48.0;-241.0;-151.0;1785.0;123.0;105.0;-4.0;-901.0;54.0;2115.0;48.0;-92.0;27.0;-419.0;180.0;1782.0;-5.0;-95.0;46.0;41.0;12.0;620.0;-29.0;-119.0;39.0;59.0;-50.0;441.0;-17.0;-92.0;1.0;85.0;-126.0;53.0;8.0;-69.0;1.0;53.0;-98.0;-229.0;19.0;-41.0;-14.0;23.0;11.0;-437.0;17.0;-6.0;-14.0;61.0;81.0;-481.0;5.0;2.0;-3.0;-110.0;114.0;-417.0;-2.0;10.0;-2.0;-1.0;78.0;-300.0;0.0;-1.0;6.0;-85.0;35.0;-204.0;1.0;4.0;0.0;130.0;14.0;-145.0
RIGHT2;10.0;-121.0;-16.0;51.0;406.0;-781.0;-6.0;-102.0;-21.0;457.0;662.0;-2130.0;-156.0;75.0;-11.0;1383.0;177.0;-2346.0;-37.0;323.0;-17.0;80.0;-249.0;-110.0;44.0;272.0;-4.0;-375.0;-543.0;1869.0;213.0;177.0;20.0;-1168.0;-169.0;2492.0;34.0;-121.0;33.0;-90.0;-73.0;1326.0;-22.0;-74.0;33.0;309.0;-126.0;875.0;-49.0;-161.0;14.0;31.0;-238.0;670.0;0.0;-75.0;9.0;-34.0;-201.0;181.0;15.0;-77.0;-7.0;-58.0;-61.0;-228.0;23.0;-24.0;-21.0;155.0;74.0;-449.0;10.0;4.0;-15.0;132.0;159.0;-407.0;3.0;15.0;-7.0;99.0;136.0;-257.0;2.0;10.0;1.0;-50.0;65.0;-152.0;0.0;-9.0;-2.0;39.0;27.0;-145.0
RIGHT2;-20.0;-91.0;-33.0;-85.0;871.0;-1833.0;-164.0;47.0;-22.0;1229.0;737.0;-1847.0;-106.0;335.0;11.0;668.0;-377.0;-885.0;8.0;267.0;29.0;256.0;-796.0;1684.0;203.0;209.0;6.0;-1023.0;-752.0;1980.0;105.0;-102.0;29.0;-716.0;61.0;2026.0;4.0;-63.0;11.0;-46.0;-77.0;891.0;-56.0;-170.0;39.0;-35.0;-211.0;957.0;-28.0;-87.0;9.0;-123.0;-292.0;496.0;10.0;-106.0;-7.0;-75.0;-184.0;-137.0;46.0;-48.0;-16.0;81.0;47.0;-556.0;47.0;-19.0;-18.0;351.0;250.0;-718.0;16.0;21.0;-4.0;256.0;313.0;-552.0;-6.0;11.0;-3.0;-18.0;216.0;-466.0;-18.0;2.0;5.0;-89.0;153.0;-380.0;-16.0;-9.0;3.0;127.0;75.0;-302.0
RIGHT2;12.0;-102.0;-37.0;-534.0;421.0;-590.0;28.0;-41.0;-42.0;53.0;1161.0;-1714.0;-93.0;0.0;49.0;2714.0;1351.0;-2139.0;-168.0;289.0;-13.0;2434.0;-493.0;-1456.0;-36.0;183.0;16.0;-224.0;-872.0;1440.0;161.0;227.0;-44.0;-1725.0;-1073.0;1919.0;172.0;-99.0;56.0;-1713.0;336.0;1934.0;30.0;-25.0;37.0;344.0;-45.0;410.0;-48.0;-114.0;39.0;-129.0;-115.0;836.0;-21.0;-80.0;7.0;-158.0;-337.0;641.0;2.0;-89.0;6.0;-20.0;-216.0;133.0;26.0;-46.0;-22.0;164.0;-49.0;-313.0;19.0;-27.0;-18.0;194.0;99.0;-465.0;12.0;-12.0;-17.0;263.0;149.0;-440.0;2.0;-2.0;-7.0;89.0;138.0;-343.0;6.0;-1.0;-1.0;77.0;140.0;-276.0
RIGHT2;24.0;-149.0;-45.0;-152.0;785.0;-1113.0;-98.0;-117.0;40.0;2172.0;1604.0;-2409.0;-163.0;211.0;36.0;3267.0;-269.0;-1712.0;-61.0;341.0;-37.0;-702.0;-746.0;1047.0;160.0;262.0;-55.0;-1167.0;-1404.0;2101.0;177.0;-33.0;-9.0;-2970.0;437.0;1739.0;46.0;-107.0;77.0;1063.0;207.0;337.0;-56.0;-63.0;34.0;-349.0;110.0;740.0;-33.0;-88.0;42.0;-186.0;-240.0;724.0;1.0;-85.0;26.0;-167.0;-237.0;234.0;27.0;-76.0;-16.0;162.0;-107.0;-300.0;26.0;-24.0;-21.0;-75.0;142.0;-582.0;5.0;-29.0;-25.0;269.0;197.0;-633.0;-18.0;5.0;9.0;81.0;125.0;-422.0;-12.0;-6.0;8.0;418.0;-6.0;-219.0;-3.0;26.0;10.0;-228.0;-64.0;-42.0
