Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
RIGHT;-1.0;-152.0;-46.0;-102.0;415.0;-992.0;-91.0;-63.0;8.0;695.0;356.0;-1683.0;-65.0;203.0;68.0;818.0;57.0;-1217.0;-37.0;265.0;79.0;-60.0;-403.0;554.0;58.0;185.0;16.0;-437.0;-435.0;1889.0;37.0;-68.0;-23.0;-121.0;-38.0;1868.0;20.0;-86.0;-21.0;242.0;-2.0;1424.0;3.0;-151.0;-17.0;-214.0;-2.0;597.0;10.0;-116.0;-19.0;-113.0;-114.0;-135.0;26.0;-77.0;-24.0;43.0;-148.0;-791.0;31.0;11.0;-19.0;182.0;24.0;-827.0;15.0;44.0;3.0;127.0;118.0;-590.0;3.0;41.0;8.0;-103.0;108.0;-204.0;3.0;23.0;11.0;-14.0;113.0;-19.0;-3.0;10.0;8.0;-52.0;58.0;11.0;-5.0;1.0;6.0;23.0;21.0;-48.0
RIGHT;-40.0;-144.0;-59.0;-183.0;310.0;-1043.0;-100.0;-32.0;22.0;610.0;626.0;-1841.0;-77.0;255.0;61.0;740.0;20.0;-811.0;-17.0;262.0;100.0;173.0;-223.0;745.0;48.0;187.0;14.0;-341.0;-728.0;2138.0;45.0;-95.0;-13.0;-226.0;-114.0;1756.0;20.0;-84.0;-26.0;89.0;-33.0;1407.0;-2.0;-157.0;-20.0;-355.0;14.0;627.0;-1.0;-133.0;-23.0;-80.0;-173.0;-171.0;33.0;-67.0;-21.0;-118.0;-188.0;-735.0;50.0;-13.0;-13.0;273.0;-41.0;-677.0;30.0;31.0;4.0;138.0;216.0;-543.0;2.0;22.0;6.0;186.0;128.0;-357.0;-7.0;33.0;9.0;84.0;127.0;-240.0;-7.0;30.0;8.0;-137.0;8.0;-80.0;-1.0;13.0;7.0;-62.0;18.0;-41.0
RIGHT;-4.0;-146.0;-42.0;15.0;290.0;-1083.0;-74.0;-44.0;18.0;215.0;285.0;-1584.0;-86.0;289.0;65.0;343.0;-73.0;-756.0;-42.0;291.0;70.0;71.0;-297.0;928.0;27.0;185.0;3.0;-147.0;-333.0;2073.0;41.0;-126.0;-20.0;32.0;70.0;1681.0;26.0;-158.0;-24.0;-193.0;30.0;1076.0;29.0;-185.0;-24.0;-9.0;23.0;164.0;23.0;-97.0;-18.0;-97.0;-77.0;-568.0;23.0;-13.0;-9.0;140.0;-58.0;-801.0;14.0;62.0;4.0;-43.0;-2.0;-632.0;2.0;46.0;7.0;-99.0;40.0;-255.0;-3.0;30.0;7.0;-41.0;31.0;-100.0;-3.0;-1.0;9.0;33.0;43.0;-25.0;-3.0;8.0;4.0;19.0;21.0;-26.0;-3.0;3.0;3.0;12.0;-2.0;-33.0
RIGHT;-12.0;-156.0;-50.0;-213.0;349.0;-949.0;-96.0;-68.0;13.0;501.0;418.0;-1765.0;-80.0;263.0;67.0;686.0;-166.0;-1103.0;-28.0;281.0;81.0;333.0;-216.0;661.0;45.0;201.0;9.0;-331.0;-381.0;2151.0;40.0;-123.0;-12.0;-189.0;113.0;1981.0;4.0;-118.0;-19.0;-72.0;-87.0;1331.0;12.0;-165.0;-14.0;-167.0;-128.0;384.0;20.0;-111.0;-28.0;-137.0;-125.0;-234.0;30.0;-56.0;-30.0;-6.0;-108.0;-807.0;35.0;17.0;-10.0;220.0;74.0;-743.0;9.0;44.0;10.0;6.0;69.0;-584.0;7.0;36.0;13.0;-38.0;53.0;-254.0;-2.0;19.0;5.0;-17.0;57.0;-98.0;-6.0;10.0;4.0;6.0;53.0;-33.0;-1.0;5.0;5.0;62.0;32.0;-18.0
RIGHT;-53.0;-95.0;-32.0;-7.0;487.0;-1523.0;-101.0;78.0;44.0;969.0;365.0;-1419.0;-46.0;340.0;113.0;299.0;19.0;50.0;0.0;231.0;77.0;203.0;-662.0;1838.0;53.0;30.0;-17.0;-468.0;-481.0;2127.0;36.0;-182.0;-51.0;124.0;-131.0;1494.0;30.0;-161.0;-41.0;-115.0;137.0;524.0;16.0;-108.0;-21.0;-210.0;-8.0;-122.0;13.0;-50.0;-6.0;-51.0;-59.0;-527.0;18.0;-10.0;-4.0;4.0;-52.0;-682.0;23.0;19.0;3.0;-9.0;45.0;-563.0;15.0;30.0;0.0;10.0;20.0;-401.0;7.0;32.0;4.0;-25.0;100.0;-128.0;-5.0;11.0;7.0;104.0;70.0;-66.0;-6.0;8.0;9.0;-9.0;44.0;-31.0;-5.0;6.0;3.0;14.0;-14.0;-53.0
RIGHT;-38.0;-142.0;-62.0;-307.0;333.0;-1024.0;-99.0;-59.0;29.0;252.0;687.0;-1856.0;-106.0;231.0;94.0;742.0;10.0;-952.0;-4.0;286.0;118.0;448.0;-159.0;795.0;42.0;198.0;18.0;59.0;-728.0;2316.0;65.0;-85.0;-34.0;-81.0;-167.0;2001.0;7.0;-122.0;-51.0;-30.0;-163.0;1329.0;9.0;-174.0;-36.0;-257.0;-57.0;464.0;25.0;-124.0;-28.0;-171.0;-59.0;-279.0;23.0;-54.0;-23.0;-153.0;-89.0;-823.0;43.0;25.0;-7.0;123.0;80.0;-781.0;15.0;39.0;11.0;-55.0;99.0;-540.0;13.0;32.0;16.0;68.0;93.0;-262.0;-5.0;22.0;12.0;-17.0;39.0;-125.0;-7.0;14.0;5.0;-14.0;31.0;-55.0;-4.0;6.0;4.0;59.0;26.0;-31.0
RIGHT;-38.0;-148.0;-69.0;-250.0;372.0;-872.0;-101.0;-75.0;4.0;722.0;659.0;-1875.0;-99.0;235.0;82.0;1281.0;-25.0;-1247.0;-6.0;311.0;120.0;236.0;-330.0;622.0;47.0;196.0;35.0;-461.0;-751.0;2258.0;59.0;-86.0;-29.0;-515.0;-102.0;2035.0;7.0;-161.0;-54.0;-47.0;-38.0;1202.0;10.0;-167.0;-33.0;-161.0;13.0;295.0;15.0;-105.0;-17.0;-37.0;-38.0;-345.0;25.0;-40.0;-4.0;17.0;-100.0;-726.0;31.0;33.0;5.0;77.0;23.0;-635.0;16.0;31.0;9.0;-170.0;23.0;-449.0;6.0;29.0;8.0;101.0;58.0;-210.0;-9.0;9.0;3.0;68.0;52.0;-159.0;-6.0;14.0;2.0;126.0;36.0;-53.0;-1.0;8.0;1.0;-45.0;19.0;-38.0
RIGHT;-42.0;-148.0;-25.0;334.0;590.0;-1695.0;-128.0;53.0;49.0;731.0;255.0;-1551.0;-31.0;305.0;106.0;274.0;87.0;-292.0;-11.0;270.0;68.0;-153.0;-551.0;1735.0;73.0;90.0;-14.0;-264.0;-350.0;2068.0;19.0;-117.0;-41.0;272.0;-141.0;1677.0;21.0;-139.0;-38.0;-183.0;4.0;977.0;17.0;-191.0;-16.0;-255.0;-35.0;129.0;35.0;-98.0;-13.0;-24.0;-125.0;-643.0;40.0;-19.0;-16.0;91.0;-93.0;-879.0;28.0;74.0;-3.0;201.0;148.0;-683.0;-11.0;52.0;1.0;-118.0;86.0;-219.0;-16.0;24.0;10.0;50.0;102.0;-122.0;-8.0;9.0;12.0;-72.0;8.0;-55.0;2.0;4.0;7.0;58.0;18.0;-112.0;8.0;8.0;1.0;-62.0;-29.0;-49.0
RIGHT;-47.0;-144.0;-9.0;630.0;753.0;-1859.0;-127.0;127.0;49.0;1002.0;203.0;-1146.0;-30.0;287.0;118.0;473.0;-82.0;167.0;-4.0;276.0;48.0;-321.0;-833.0;2145.0;68.0;-1.0;-6.0;-429.0;-316.0;1906.0;14.0;-122.0;-48.0;201.0;-134.0;1512.0;8.0;-159.0;-37.0;-366.0;-3.0;656.0;23.0;-155.0;-20.0;-146.0;7.0;-86.0;32.0;-65.0;-13.0;-181.0;-97.0;-693.0;45.0;-16.0;-3.0;316.0;53.0;-834.0;20.0;58.0;9.0;-9.0;49.0;-704.0;6.0;43.0;8.0;50.0;27.0;-390.0;-11.0;42.0;6.0;-152.0;23.0;-112.0;-9.0;12.0;5.0;61.0;41.0;-31.0;-2.0;8.0;5.0;11.0;37.0;19.0;2.0;-1.0;0.0;66.0;21.0;-24.0
RIGHT;-32.0;-149.0;-56.0;430.0;799.0;-1634.0;-167.0;13.0;4.0;1076.0;425.0;-1465.0;-15.0;293.0;117.0;872.0;108.0;-687.0;-21.0;290.0;94.0;-287.0;-814.0;1620.0;108.0;117.0;29.0;-795.0;-558.0;2023.0;9.0;-100.0;-39.0;111.0;-231.0;1868.0;14.0;-143.0;-39.0;-219.0;-59.0;1010.0;6.0;-176.0;-23.0;-85.0;-22.0;226.0;23.0;-107.0;-25.0;-109.0;-44.0;-507.0;45.0;-43.0;-12.0;150.0;23.0;-821.0;35.0;48.0;6.0;156.0;151.0;-840.0;13.0;53.0;14.0;9.0;80.0;-466.0;-8.0;30.0;13.0;35.0;51.0;-197.0;-5.0;16.0;7.0;-41.0;38.0;-63.0;-3.0;8.0;2.0;1.0;2.0;-27.0;2.0;12.0;0.0;-5.0;8.0;-28.0
