Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
UP2;52.0;61.0;-201.0;-181.0;361.0;31.0;93.0;27.0;-143.0;-496.0;903.0;352.0;71.0;-46.0;-38.0;337.0;1336.0;477.0;-16.0;-29.0;79.0;309.0;1095.0;306.0;-46.0;-25.0;143.0;250.0;662.0;139.0;-54.0;-40.0;143.0;126.0;11.0;-35.0;-7.0;-28.0;89.0;25.0;-297.0;-109.0;1.0;-25.0;27.0;76.0;-389.0;-187.0;-5.0;10.0;-14.0;-241.0;-379.0;-195.0;-10.0;15.0;-26.0;-114.0;-315.0;-128.0;0.0;28.0;-27.0;-77.0;-226.0;-41.0;3.0;4.0;-20.0;30.0;-135.0;-13.0;1.0;5.0;-19.0;-18.0;-64.0;-30.0;-3.0;2.0;-11.0;15.0;-21.0;-8.0;-1.0;3.0;-3.0;-88.0;14.0;18.0;1.0;4.0;1.0;11.0;5.0;28.0
UP2;-54.0;-44.0;93.0;261.0;-1123.0;-473.0;-87.0;79.0;-64.0;-110.0;-1203.0;-335.0;-44.0;124.0;-216.0;347.0;-682.0;-115.0;83.0;99.0;-275.0;-580.0;600.0;400.0;167.0;-30.0;-165.0;182.0;1303.0;390.0;88.0;-43.0;11.0;33.0;1545.0;443.0;1.0;-36.0;129.0;553.0;1114.0;282.0;-51.0;-7.0;145.0;-190.0;478.0;174.0;-30.0;-40.0;119.0;476.0;135.0;-34.0;4.0;0.0;79.0;-30.0;-231.0;-226.0;-21.0;-2.0;52.0;-44.0;-251.0;-237.0;-14.0;54.0;28.0;-506.0;-300.0;-38.0;-13.0;-11.0;-2.0;-184.0;-262.0;36.0;6.0;-10.0;-18.0;-42.0;-271.0;23.0;-1.0;-27.0;-26.0;-111.0;-214.0;-76.0;-10.0;3.0;-23.0;5.0;-154.0;-34.0
UP2;-22.0;-71.0;76.0;185.0;-735.0;-299.0;-34.0;19.0;-3.0;108.0;-921.0;-324.0;-40.0;51.0;-156.0;525.0;-677.0;-284.0;42.0;107.0;-236.0;-348.0;82.0;213.0;83.0;12.0;-189.0;-66.0;946.0;319.0;68.0;-24.0;-36.0;-17.0;1553.0;462.0;-9.0;-30.0;131.0;207.0;1243.0;261.0;-54.0;-45.0;173.0;189.0;461.0;118.0;-26.0;-6.0;123.0;184.0;-196.0;-52.0;11.0;-26.0;49.0;215.0;-303.0;-74.0;2.0;-5.0;0.0;-188.0;-211.0;-157.0;-20.0;14.0;5.0;-312.0;-229.0;-131.0;-22.0;-2.0;-2.0;-3.0;-279.0;-99.0;-4.0;18.0;-4.0;74.0;-323.0;-4.0;4.0;-21.0;-27.0;145.0;-214.0;-82.0;-1.0;21.0;-22.0;-227.0;-58.0;-51.0
UP2;-8.0;-45.0;96.0;49.0;-567.0;-100.0;-24.0;1.0;12.0;59.0;-799.0;-165.0;-13.0;25.0;-120.0;305.0;-604.0;-175.0;32.0;75.0;-166.0;-271.0;-92.0;65.0;60.0;3.0;-125.0;-125.0;377.0;117.0;66.0;4.0;-73.0;-112.0;813.0;138.0;29.0;-29.0;-11.0;199.0;1128.0;144.0;-8.0;7.0;70.0;-50.0;931.0;153.0;-38.0;-37.0;105.0;90.0;437.0;62.0;-36.0;-10.0;101.0;93.0;-82.0;-50.0;-17.0;-21.0;55.0;232.0;-245.0;-63.0;-9.0;6.0;18.0;-25.0;-276.0;-51.0;-5.0;10.0;-5.0;-94.0;-212.0;-33.0;-5.0;16.0;-14.0;-49.0;-172.0;-46.0;-6.0;5.0;-8.0;-86.0;-129.0;-33.0;-8.0;0.0;-1.0;-37.0;-145.0;-23.0
UP2;22.0;36.0;-90.0;14.0;5.0;87.0;38.0;5.0;-83.0;-64.0;266.0;146.0;39.0;-3.0;-49.0;27.0;563.0;163.0;24.0;-12.0;-14.0;60.0;721.0;123.0;-14.0;-1.0;20.0;136.0;687.0;78.0;-33.0;-2.0;46.0;76.0;532.0;96.0;-27.0;2.0;72.0;129.0;291.0;89.0;-10.0;-27.0;75.0;222.0;15.0;-19.0;-15.0;-5.0;60.0;-58.0;-235.0;-132.0;-21.0;1.0;26.0;-200.0;-355.0;-121.0;-14.0;26.0;1.0;-251.0;-347.0;-26.0;0.0;4.0;-15.0;-7.0;-286.0;37.0;-1.0;-8.0;-22.0;80.0;-223.0;-20.0;-2.0;-5.0;-25.0;-49.0;-117.0;-21.0;-1.0;-1.0;-17.0;-40.0;-44.0;-23.0;0.0;4.0;-12.0;-53.0;18.0;-7.0
UP2;20.0;23.0;-121.0;-92.0;2.0;47.0;60.0;-2.0;-106.0;154.0;505.0;171.0;54.0;-4.0;-64.0;-46.0;801.0;143.0;23.0;-10.0;11.0;320.0;991.0;137.0;-22.0;7.0;66.0;-14.0;698.0;141.0;-27.0;-18.0;88.0;76.0;344.0;93.0;-25.0;-22.0;83.0;-57.0;-18.0;16.0;-22.0;-15.0;45.0;186.0;-211.0;-72.0;-18.0;11.0;25.0;-111.0;-174.0;-45.0;-6.0;14.0;10.0;0.0;-168.0;-14.0;-4.0;-9.0;-1.0;23.0;-177.0;-58.0;-6.0;-6.0;-5.0;-31.0;-200.0;-77.0;-10.0;-2.0;-9.0;-43.0;-187.0;-67.0;-7.0;15.0;-8.0;-181.0;-140.0;-6.0;0.0;8.0;-11.0;55.0;-112.0;10.0;0.0;1.0;-15.0;-34.0;-39.0;5.0
UP2;16.0;31.0;-115.0;281.0;-74.0;57.0;44.0;21.0;-119.0;-171.0;270.0;195.0;62.0;-6.0;-73.0;-52.0;677.0;236.0;46.0;-20.0;-21.0;-24.0;862.0;84.0;7.0;-7.0;43.0;220.0;836.0;69.0;-22.0;2.0;66.0;39.0;511.0;44.0;-32.0;-12.0;69.0;74.0;127.0;36.0;-28.0;-6.0;51.0;61.0;-58.0;-10.0;-31.0;2.0;43.0;-13.0;-65.0;4.0;-10.0;2.0;34.0;-36.0;-5.0;10.0;-5.0;-2.0;19.0;-160.0;-107.0;2.0;5.0;-13.0;5.0;80.0;-193.0;-45.0;-15.0;-4.0;-4.0;-134.0;-271.0;-78.0;-15.0;2.0;-4.0;58.0;-224.0;-52.0;-13.0;3.0;-12.0;-64.0;-189.0;-51.0;1.0;16.0;-11.0;-22.0;-96.0;9.0
UP2;27.0;54.0;-144.0;-21.0;-80.0;83.0;64.0;4.0;-125.0;-133.0;428.0;174.0;72.0;-18.0;-75.0;-222.0;887.0;109.0;38.0;-20.0;1.0;197.0;1117.0;23.0;-14.0;21.0;61.0;-76.0;958.0;32.0;-30.0;0.0;101.0;-134.0;528.0;91.0;-38.0;-14.0;89.0;-8.0;3.0;34.0;-29.0;-20.0;60.0;104.0;-209.0;17.0;-17.0;3.0;30.0;185.0;-204.0;-10.0;2.0;-11.0;13.0;112.0;-117.0;-51.0;0.0;10.0;2.0;-34.0;-120.0;-74.0;-15.0;-8.0;-11.0;33.0;-255.0;-106.0;-20.0;21.0;1.0;-252.0;-197.0;42.0;-10.0;-6.0;0.0;84.0;-215.0;29.0;0.0;6.0;-1.0;-177.0;-108.0;38.0;1.0;5.0;-9.0;85.0;-119.0;-7.0
UP2;-10.0;-53.0;74.0;-233.0;-429.0;-85.0;-16.0;-12.0;31.0;-26.0;-688.0;-170.0;-23.0;9.0;-85.0;423.0;-655.0;-300.0;13.0;71.0;-121.0;319.0;-295.0;-95.0;41.0;23.0;-127.0;43.0;80.0;33.0;58.0;12.0;-91.0;-56.0;481.0;183.0;53.0;-14.0;-50.0;-76.0;814.0;216.0;24.0;0.0;8.0;-21.0;961.0;216.0;-10.0;-7.0;63.0;-193.0;696.0;177.0;-24.0;-7.0;82.0;86.0;323.0;98.0;-18.0;-15.0;73.0;127.0;14.0;45.0;-20.0;-19.0;39.0;358.0;-130.0;-66.0;-12.0;-7.0;27.0;-24.0;-107.0;-61.0;-26.0;-9.0;17.0;-16.0;-187.0;-102.0;-19.0;17.0;14.0;-313.0;-118.0;-9.0;-9.0;0.0;6.0;29.0;-119.0;-33.0
UP2;42.0;24.0;-126.0;78.0;58.0;35.0;54.0;10.0;-101.0;-16.0;472.0;113.0;41.0;-9.0;-41.0;30.0;765.0;154.0;13.0;-1.0;12.0;197.0;872.0;128.0;-10.0;1.0;56.0;-132.0;707.0;119.0;-27.0;-10.0;80.0;-52.0;364.0;85.0;-24.0;-23.0;66.0;111.0;-15.0;31.0;-38.0;-19.0;44.0;162.0;-172.0;-29.0;-23.0;3.0;31.0;-4.0;-131.0;-11.0;-12.0;2.0;29.0;-129.0;-129.0;-12.0;6.0;-7.0;9.0;103.0;-243.0;-66.0;-4.0;-7.0;-8.0;6.0;-264.0;-126.0;-11.0;13.0;-18.0;-51.0;-216.0;-95.0;-8.0;18.0;-12.0;-189.0;-82.0;-3.0;3.0;10.0;-9.0;-15.0;-78.0;30.0;2.0;-7.0;-14.0;33.0;-60.0;22.0
