Lable;AccX1;AccY1;AccZ1;GyrX1;GyrY1;GyrZ1;AccX2;AccY2;AccZ2;GyrX2;GyrY2;GyrZ2;AccX3;AccY3;AccZ3;GyrX3;GyrY3;GyrZ3;AccX4;AccY4;AccZ4;GyrX4;GyrY4;GyrZ4;AccX5;AccY5;AccZ5;GyrX5;GyrY5;GyrZ5;AccX6;AccY6;AccZ6;GyrX6;GyrY6;GyrZ6;AccX7;AccY7;AccZ7;GyrX7;GyrY7;GyrZ7;AccX8;AccY8;AccZ8;GyrX8;GyrY8;GyrZ8;AccX9;AccY9;AccZ9;GyrX9;GyrY9;GyrZ9;AccX10;AccY10;AccZ10;GyrX10;GyrY10;GyrZ10;AccX11;AccY11;AccZ11;GyrX11;GyrY11;GyrZ11;AccX12;AccY12;AccZ12;GyrX12;GyrY12;GyrZ12;AccX13;AccY13;AccZ13;GyrX13;GyrY13;GyrZ13;AccX14;AccY14;AccZ14;GyrX14;GyrY14;GyrZ14;AccX15;AccY15;AccZ15;GyrX15;GyrY15;GyrZ15;AccX16;AccY16;AccZ16;GyrX16;GyrY16;GyrZ16
IDLE;0.23913044;0.44347826;0.4347826;0.28608614;0.15759583;0.34831992;0.57391304;0.47826087;0.09130435;0.30383343;0.0;0.2647894;0.4869565;0.66086954;0.28695652;0.43090394;0.21769996;0.29389495;0.65217394;0.53913045;0.0;0.5686228;0.48816848;0.48319924;1.0;0.6826087;0.039130434;0.5186938;0.6429247;0.6767629;0.8565217;0.40434784;0.4869565;0.61074305;0.9162328;0.6907241;0.47391304;0.41304347;0.7478261;0.84287745;1.0;0.5922859;0.49565217;0.53913045;0.6913043;0.34831992;0.67345005;0.6303833;0.13913043;0.20434782;0.9782609;0.3405111;0.2927118;0.43421677;0.2347826;0.32608697;0.8130435;0.48769522;0.26076669;0.258637;0.3043478;0.66086954;0.4695652;0.4242783;0.26076669;0.28324658;0.4;0.5869565;0.5478261;0.15522954;0.30075723;0.49337435;0.7478261;0.17826086;0.4173913;0.49337435;0.42001894;0.20610507;0.74347824;0.56956524;0.35652173;0.44510174;0.42498818;0.4486512;0.71304345;0.44347826;0.38260868;0.45196402;0.41457644;0.50047326;0.50869566;0.40434784;0.5;0.3970658;0.45764315;0.47846663
IDLE;0.21875;0.734375;0.609375;0.286754;0.6885007;0.8238719;0.0;0.6875;0.390625;0.22416303;0.4250364;0.3959243;0.703125;0.578125;0.453125;0.5429403;0.41048035;0.20232897;0.59375;0.203125;0.453125;1.0;0.510917;0.93886465;0.5625;0.515625;0.5625;0.7176128;0.57933044;0.51965064;0.546875;0.859375;0.671875;0.496361;0.6157205;0.0;0.484375;0.484375;0.625;0.3944687;0.58515286;0.2838428;0.421875;0.59375;0.515625;0.7103348;0.46870452;0.55749637;0.640625;1.0;0.4375;0.33624455;0.44104803;0.3944687;0.5625;0.296875;0.46875;0.5312955;0.48180494;0.6157205;0.6875;0.546875;0.515625;0.86754;0.5094614;0.63027656;0.65625;0.671875;0.671875;0.6491994;0.5414847;0.62299854;0.609375;0.53125;0.71875;0.6098981;0.5094614;0.6200873;0.625;0.625;0.703125;0.5080058;0.5167394;0.5152838;0.59375;0.640625;0.65625;0.43959242;0.52110624;0.4643377;0.546875;0.578125;0.65625;0.4657933;0.5633188;0.42940322
IDLE;0.16356878;0.65799254;0.44981414;0.6877215;0.5468001;0.48071712;0.4275093;0.44237918;0.21561338;0.072128415;0.28100896;0.4509068;0.8624535;0.5204461;0.014869888;0.0;0.3683552;0.31832394;0.330855;0.30111524;0.4126394;1.0;0.54638314;0.4921826;1.0;0.6914498;0.17843866;0.607463;0.6356056;0.6681259;0.936803;0.3977695;0.37174723;0.4777986;0.6860538;0.6998124;0.39033458;0.40892193;0.4795539;0.62080467;0.8732541;0.6032937;0.0;0.15613383;0.65799254;0.71794873;0.6572858;0.82489055;0.43866172;0.43122676;0.15241636;0.014800917;0.4819679;0.5766104;0.07063197;0.4275093;0.464684;0.4183865;0.39691475;0.4498645;0.24907063;0.31598514;0.2639405;0.5511778;0.40233478;0.40921408;0.54275095;0.43122676;0.464684;0.96226805;0.45007297;0.60037524;0.51301116;0.6245353;0.48698884;0.9018136;0.630394;0.518449;0.6654275;0.598513;0.6133829;0.6041276;0.64832187;0.55513865;0.5315985;0.44237918;0.5055762;0.3794038;0.5432562;0.5555556;0.42007434;0.2936803;0.43494424;0.4577861;0.5121951;0.6193454
IDLE;0.16239317;0.4957265;0.32478634;0.5211946;0.36416185;0.46146435;0.0;0.61538464;0.5811966;0.57225436;0.46628132;0.20327553;0.18803419;0.74358976;0.33333334;0.9007707;0.44412333;0.11849711;0.43589744;0.7863248;0.64102566;0.80250484;0.5693642;0.0;0.61538464;0.6752137;0.6495727;0.7475915;0.5944123;0.34393063;0.71794873;0.7094017;0.62393165;0.85452795;0.7543353;0.8516378;1.0;0.82905984;0.7777778;0.8786127;0.8265896;0.99421966;0.7777778;0.4871795;0.72649574;0.6830443;0.7485549;0.8265896;0.6581197;0.5641026;0.63247865;0.7302505;0.6242775;0.77649325;0.21367522;0.52136755;0.62393165;0.48458573;0.5558767;0.6849711;0.1965812;0.36752138;0.5897436;0.27456647;0.51348746;0.62716764;0.41880342;0.52991456;0.5811966;0.24084778;0.6136802;0.36127168;0.2991453;0.4957265;0.51282054;0.31021196;0.6473988;0.27649325;0.26495728;0.45299146;0.51282054;0.39788055;0.64643544;0.47302505;0.6837607;0.45299146;0.5555556;0.70038533;0.7909441;0.60308284;0.6581197;0.5555556;0.5641026;1.0;0.9026975;0.56647396
IDLE;0.3842795;0.69868994;0.0;0.8630885;0.5235405;0.49548024;0.36681223;0.69868994;0.279476;0.05800377;0.4047081;0.56478345;0.47598255;0.11353712;0.008733625;0.043691147;0.32410547;0.4566855;0.52838427;0.05676856;0.75545853;1.0;0.55932206;0.5039548;0.47598255;0.8515284;0.15283842;0.15499058;0.513371;0.4306968;0.5021834;0.41484717;0.83842796;0.0;0.45103577;0.43013182;0.4366812;0.14410481;0.6637555;0.7777778;0.4864407;0.41355932;0.4323144;0.70742357;1.0;0.8450094;0.6425612;0.50263655;0.3580786;0.6943231;0.23144105;0.25065914;0.4410546;0.44745764;0.3842795;0.41921398;0.5327511;0.3242938;0.34708098;0.49661016;0.4279476;0.2576419;0.45414847;0.5741996;0.43314502;0.5096045;0.51965064;0.49344978;0.34934497;0.5380414;0.50508475;0.46233523;0.4323144;0.4585153;0.31004366;0.5354049;0.4423729;0.47325802;0.4978166;0.5152838;0.4323144;0.39717513;0.43370998;0.48022598;0.4585153;0.4323144;0.47598255;0.3943503;0.48135594;0.46365348;0.4366812;0.3930131;0.48908296;0.47288135;0.49774012;0.44613937
IDLE;0.86624205;0.52866244;0.39490446;0.0;0.29468912;0.5738342;0.48407644;0.07643312;0.79617834;0.19915803;0.4468912;0.82545334;0.36942676;0.0;0.87261146;0.93134713;0.7205311;0.7691062;0.32484075;0.5477707;0.522293;1.0;0.6641839;0.5997409;0.39490446;0.82802546;0.6815287;0.65738344;0.6483161;0.42001295;0.43949044;0.7070064;0.7643312;0.62143785;0.63212436;0.35459843;0.7452229;0.91082805;0.42675158;0.6402202;0.53659326;0.2859456;0.7006369;1.0;0.34394905;0.18037565;0.36819947;0.44268134;0.60509557;0.42675158;0.75159234;0.316386;0.50809586;0.6013601;0.57961786;0.41401273;0.656051;0.7140544;0.5848446;0.62240934;0.5477707;0.6751592;0.58598727;0.7509715;0.5579663;0.50485754;0.56050956;0.77707005;0.5987261;0.5327073;0.5;0.42195597;0.6369427;0.6878981;0.611465;0.35654145;0.48218912;0.4193653;0.6369427;0.6687898;0.566879;0.26036268;0.44365284;0.45369172;0.60509557;0.522293;0.5987261;0.2943653;0.43976685;0.54501295;0.57961786;0.48407644;0.6369427;0.45466322;0.503886;0.5952073
IDLE;0.698324;0.5642458;0.18435754;0.22750883;0.38375235;0.59713274;0.24022347;0.0;0.65363127;0.45460212;0.46852276;0.7714523;0.51955307;0.061452515;0.43575418;1.0;0.7163931;0.7546229;0.33519554;0.60335195;0.33519554;0.7930605;0.5898608;0.506337;0.11731844;0.698324;0.6256983;0.7905672;0.53584045;0.50654477;0.5363129;0.7039106;0.79888266;0.6189487;0.65738624;0.43382505;0.7877095;1.0;0.30726257;0.29108664;0.62393516;0.38416788;0.33519554;0.6815643;0.6592179;0.0;0.38583004;0.4845211;0.5251397;0.21787709;0.75977653;0.5079992;0.5507999;0.70247245;0.7877095;0.40223464;0.5251397;0.5566175;0.66881365;0.59256184;0.43575418;0.48044693;0.45810056;0.7126532;0.5780179;0.5453979;0.49162012;0.59217876;0.59217876;0.7496364;0.5329316;0.49158528;0.575419;0.68715084;0.5139665;0.54415125;0.5586952;0.50654477;0.54189944;0.5865922;0.5251397;0.4080615;0.5433202;0.52856845;0.51955307;0.43575418;0.54189944;0.4668606;0.5219198;0.5609807;0.54189944;0.46927375;0.5642458;0.5410347;0.5412425;0.57136923
IDLE;0.62952644;0.29805014;0.37325907;0.4167714;0.56994075;0.23612857;0.7047354;0.37883008;0.30362117;0.6584665;0.6877357;0.24833901;0.6462396;0.4735376;0.3454039;0.76171666;0.6809122;0.2727599;0.67966574;0.75766015;0.48746517;0.8091219;0.69150656;0.33884;0.5013928;1.0;0.632312;0.8103789;0.6397917;0.61321604;0.44568247;0.96657383;0.68523675;0.41282097;0.3503322;0.81540674;0.5766017;0.5961003;0.8356546;0.24726163;0.24367031;0.891722;0.7158774;0.69916433;0.5988858;0.22284073;0.3560783;0.88866943;0.5710306;0.23955432;0.4679666;0.0;0.37385526;1.0;0.61281335;0.0;0.66295266;0.34117436;0.4765667;0.8435985;0.6211699;0.13370474;0.68523675;0.7904471;0.7051535;0.6462561;0.3649025;0.7437326;0.4206128;0.5629377;0.6721135;0.49937153;0.22284123;0.23955432;0.74651814;0.53905547;0.5333094;0.5796373;0.3481894;0.82729805;0.61281335;0.8132519;0.47153887;0.3426109;0.58774376;0.95543176;0.4206128;0.17112587;0.48500627;0.1075597;0.49860725;0.55153203;0.4568245;0.3720596;0.35715568;0.09678578
IDLE;0.79234976;1.0;0.30601093;0.25699347;0.24941176;0.023529412;0.61202186;0.39344263;0.5300546;0.029281046;0.45437908;0.15686275;0.24043716;0.0;0.61748636;1.0;0.34039214;0.41568628;0.5191257;0.9398907;0.46448088;0.45464054;0.2572549;0.5040523;0.3715847;0.0;0.5136612;0.0;0.47189543;0.49254903;0.47540984;0.46448088;0.45355192;0.42222223;0.4130719;0.42954248;0.5300546;0.24043716;0.55191255;0.6379085;0.31424835;0.48156863;0.48087433;0.59016395;0.5027322;0.34457517;0.3633987;0.5398693;0.47540984;0.49726775;0.48087433;0.2054902;0.4020915;0.4888889;0.38797814;0.41530055;0.44808742;0.351634;0.3406536;0.36810458;0.44808742;0.45901638;0.46994534;0.42431372;0.32;0.30379084;0.49726775;0.5409836;0.45901638;0.39006537;0.38509804;0.29673204;0.5027322;0.5191257;0.46994534;0.3508497;0.3869281;0.27477124;0.5027322;0.48087433;0.45355192;0.35764706;0.3633987;0.2909804;0.48087433;0.46994534;0.48087433;0.34091502;0.3675817;0.34797385;0.4918033;0.45901638;0.48087433;0.37124184;0.3895425;0.37673202
IDLE;0.8483146;0.53932583;0.3764045;0.17434353;0.4984933;0.51356006;0.6292135;0.5224719;0.39325842;0.0;0.48816186;0.58717173;0.2752809;0.15168539;0.2752809;0.03142488;0.37580714;0.600947;0.26966292;0.48314607;0.2752809;0.21050365;0.41282824;0.5325011;0.25842696;0.2977528;0.26404494;0.015497202;0.39302626;0.49461904;0.3988764;0.13483146;0.32022473;0.50581145;0.40163583;0.5454154;0.46067417;0.4494382;0.19101124;0.4347826;0.49591047;0.5617736;0.33707866;0.4775281;0.39325842;0.9685751;0.58372796;0.39560914;0.4213483;0.66853935;0.44382024;0.553164;0.51571244;0.38011193;0.47191012;0.5;0.41573033;1.0;0.54670686;0.44425312;0.36516854;1.0;0.5674157;0.76022387;0.4623332;0.4984933;0.51123595;0.3483146;0.53370786;0.75376666;0.4253121;0.5075334;0.55617976;0.51123595;0.2977528;0.20103315;0.4683599;0.5510116;0.15168539;0.13483146;0.16853933;0.5337925;0.5101162;0.46362463;0.11797753;0.21348314;0.58426964;0.6366767;0.3590185;0.5346535;0.71348315;0.06741573;0.0;0.13430908;0.5294877;0.4020663
